Ecosystem Name,Type,Count
River Ecosystem,aquatic,2
riparian plant communities,terrestrial,3
Mediterranean temporary rivers,aquatic,1
Iberian freshwaters,aquatic,1
riparian forest and stream ecosystem,aquatic/terrestrial,1
shallow lake landscapes,aquatic,1
ecological resources,terrestrial,1
Mediterranean island ecosystem,terrestrial,1
chenopod shrublands,terrestrial,2
Italian freshwater ecosystem,aquatic,1
Mediterranean streams,aquatic,2
Danube River Basin,aquatic,1
freshwater systems,aquatic,17
marine environments,marine,5
terrestrial ecosystem in Western Indian Ocean Islands,terrestrial,1
benthic community in the lower Great Lakes,aquatic,1
brackish lagoon ecosystem,aquatic,2
tropical rain forest,terrestrial,3
Great Lakes Coastal Wetland,aquatic,1
stream ecosystems,aquatic,8
fresh waters,aquatic,1
Iberian Alpine Lake Ecosystem,aquatic,1
five climatic regions,terrestrial,1
alpine ecosystems,terrestrial,1
tropical ecosystem,terrestrial,26
entire ecosystems,-,1
Greenhouse experiment,terrestrial,1
angling ponds,aquatic,1
Venice lagoon ecosystem,aquatic,1
-,marine,26
rocky subtidal ecosystem,aquatic,1
littoral ecosystems,aquatic,1
Mediterranean Basin,marine,4
Caribbean reefs,marine,2
wave-exposed shores,marine,1
marine ecological services,marine,1
eutrophic ecosystem,aquatic,1
Mediterranean ecosystem,marine,15
Gulf of Mexico,marine,2
Hawaiian marine ecosystem,marine,1
sandy beach ecosystem,terrestrial,2
euhaline conditions,aquatic,1
coastal marine ecosystems,marine,4
Lower Shore Ecosystem,marine,1
Aquatic environment,aquatic,1
humid prairies,terrestrial,1
humid mesophytic meadows,terrestrial,1
coral reef ecosystem,marine,4
marine phytoplankton,marine,1
rhizosphere microbiome,terrestrial,1
stream ecosystem,aquatic,21
riparian ecosystem,aquatic,12
soil community,terrestrial,3
mixed deciduous woodland,terrestrial,1
Lake Victoria ecosystem,aquatic,4
urban-native ecosystem,terrestrial,1
urban-invasive ecosystem,terrestrial,1
European environments,-,1
riparian landscape,terrestrial,1
Urban forest,terrestrial,1
constructed wetland (EcoSistema Filtro),aquatic,1
urban context,terrestrial,1
grassland ecosystem,terrestrial,42
Mediterranean dry cereal agro-ecosystem,terrestrial,1
urban,terrestrial,12
pelagic community,aquatic,1
Antarctic Ecosystem,terrestrial,1
subantarctic,terrestrial,1
marine-terrestrial interface,marine,1
Antarctic,terrestrial,2
terrestrial ecosystem of South Georgia,terrestrial,1
intertidal zones,aquatic,1
Subantarctic and Antarctic regions,marine,1
Antarctic ecosystem,terrestrial,12
Antarctic terrestrial communities,terrestrial,1
sub-Antarctic ecosystem,terrestrial,8
terrestrial ecosystems,terrestrial,31
maritime Antarctic,terrestrial,1
"nearshore marine community in Bahia Lapataia, Argentina",marine,1
sub-Antarctic,terrestrial,1
sub-antarctic insular ecosystem,terrestrial,1
coastal lowland ecosystem,terrestrial,1
reef communities of Brazilian rocky shores,marine,1
tropical western Atlantic,aquatic,1
Caribbean Sea,marine,1
temperate ecosystems,marine,1
subtropical range,marine,1
Erhai Lake ecosystem,aquatic,1
Chabalang Wetland Ecosystem,aquatic,1
invaded ecosystems,terrestrial,9
agricultural ecosystems,terrestrial,15
soil microbial communities,terrestrial,1
multispecies native vegetation,terrestrial,1
ecosystems,terrestrial,2
Seabird colony ecosystem,marine,1
European ecosystems,terrestrial,8
brackish watersheds,aquatic,1
urban ecosystem,terrestrial,46
climatic ecological niche,terrestrial,1
stream food web,aquatic,1
Coastal foredunes,terrestrial,1
sand prairie,terrestrial,1
natural populations,terrestrial,1
Galápagos archipelago,terrestrial,1
deciduous forest ecosystem,terrestrial,4
deciduous forest,terrestrial,8
Mediterranean ecosystem,aquatic,3
hardwood forest ecosystem,terrestrial,1
agro-ecosystems,terrestrial,3
common garden experiment,terrestrial,1
cerrado ecosystem,terrestrial,1
worldwide ecosystem,-,1
resident plant community,terrestrial,1
natural ecosystem,-,2
upland coastal ecosystem,terrestrial,1
constructed dune communities,terrestrial,1
novel habitats,terrestrial,2
multiply invaded ecosystems,-,1
Grassland ecosystem,terrestrial,2
bromeliad ecosystems,aquatic,1
seasonal environments,-,1
Forest Ecosystem,terrestrial,2
Bornean rain forest ecosystem,terrestrial,1
oil palm plantation ecosystem,terrestrial,1
plant community,terrestrial,7
grassland system,terrestrial,2
temperate reefs,aquatic,1
tidal estuary,aquatic,1
temperate ecosystems,terrestrial,3
floodplain,terrestrial,4
submontane forests,terrestrial,1
Desert,terrestrial,2
N-limited terrestrial ecosystems,terrestrial,1
marine ecosystem of Chesapeake Bay,marine,1
Northwest Europe,terrestrial,1
microcosm experiment,terrestrial,1
Sahelian ecosystem,terrestrial,1
Chaco Serrano,terrestrial,2
Patagonian Steppe,terrestrial,1
everglades ecosystem,terrestrial,1
nutrient cycling processes in the soil ecosystem,terrestrial,1
temperate forest,terrestrial,9
food webs,-,1
tallgrass prairie,terrestrial,4
Mediterranean ecosystem,terrestrial,37
northern hardwood forest,terrestrial,1
peatlands,terrestrial,3
rangeland ecosystem,terrestrial,5
southern temperate forest landscapes,terrestrial,1
N-cycling ecosystem,terrestrial,1
standing water bodies,aquatic,1
New Zealand ecosystems,terrestrial,1
riparian zone,terrestrial,4
Mediterranean intertidal,marine,1
Mediterranean basin,terrestrial,5
North African forest ecosystem,terrestrial,1
Caribbean ecosystem,terrestrial,1
eucalyptus forests,terrestrial,1
reservoir ecosystem,aquatic,5
landscape,-,2
coastal regions,marine,1
northern Wadden Sea,marine,1
Sargassum-bed,marine,1
Mediterranean,aquatic,5
Oosterschelde Estuary Ecosystem,aquatic,1
shallow coastal ecosystems,marine,1
soft-bottom systems,marine,1
Wadden Sea ecosystem,marine,3
coastal marine ecosystem,marine,4
western Atlantic,marine,1
Atlantic Ocean ecosystem,marine,2
Mediterranean Sea ecosystem,marine,5
South Atlantic Ocean,marine,1
Wadden Sea,marine,3
Milford Haven Waterway Ecosystem,marine,1
conservation asset,terrestrial,1
Tomato crops,terrestrial,1
greenhouse tomato crops,terrestrial,1
Ports ecosystem,terrestrial,1
wild flora ecosystems,terrestrial,1
pollinator ecosystem,terrestrial,2
Australian ecosystem,-,2
agricultural,terrestrial,15
woods,terrestrial,1
Orchards,terrestrial,1
agriculture,terrestrial,3
temperate/Mediterranean,terrestrial,1
woody plant ecosystems,terrestrial,2
local secondary ecosystems,terrestrial,1
plantation forestry,terrestrial,1
Bee Colonies,terrestrial,1
fruit cultivation,terrestrial,1
global ecosystems,-,6
pine forests,terrestrial,12
European forests,terrestrial,8
submediterranean transition zone,terrestrial,1
mainland Europe ecosystem,terrestrial,1
Not explicitly mentioned,-,1
marine,aquatic,17
marine subtidal system,marine,2
salt marshes,terrestrial,4
benthic–pelagic system,aquatic,1
Mediterranean Sea,marine,71
natural and cultivated areas,terrestrial,1
shade coffee plantations,terrestrial,1
local ecosystems,terrestrial,1
agroforestry homegardens,terrestrial,1
agroforestry systems,terrestrial,2
monoculture stands,terrestrial,1
Mediterranean,terrestrial,12
tropical agrosystems,terrestrial,1
crops,terrestrial,1
livestock,terrestrial,1
crop and non-crop plant ecosystems,terrestrial,1
arthropod-host plant system,terrestrial,1
Wadden Sea Ecosystem,marine,1
urbanised landscapes,terrestrial,1
semi-natural landscapes,terrestrial,1
Greenhouse ecosystem,terrestrial,1
natural systems,terrestrial,3
indigenous biota and ecosystems,-,1
local ecosystem,-,3
aphidophagous coccinellid ecosystems,terrestrial,1
Pinus pinaster habitat,terrestrial,1
European terrestrial ecosystem,terrestrial,1
arboreal ecosystem,terrestrial,1
herbaceous ecosystem,terrestrial,1
native forest ecosystems of the southern hemisphere,terrestrial,1
coastal dunes,terrestrial,6
Northeast Pacific Ocean,marine,1
Hawaiian Reefs,marine,1
freshwater lakes ecosystem,aquatic,1
coastal,terrestrial,2
Burdekin Basin,aquatic,1
coastal lagoon,aquatic,3
seagrass ecosystem,marine,4
invaded habitats in China,terrestrial,1
wetland ecosystems,aquatic,6
agricultural fields,terrestrial,4
fynbos vegetation,terrestrial,2
temperate and boreal forests,terrestrial,1
Atlantic forest,terrestrial,2
alkali site,terrestrial,1
turbid and tidal soft-sediment systems,aquatic,1
native ecosystems,-,20
Kelp Ecosystem,marine,1
semiarid region of La Pampa and Mendoza,terrestrial,1
various ecosystems,-,4
coastal environments,marine,3
wetland and upland ecosystems,aquatic/terrestrial,1
Italian inland water ecosystems,aquatic,1
various ecosystems worldwide,-,1
Atlantic Forest,terrestrial,11
near-shore waters,marine,1
Estuarine ecosystem,aquatic,3
natural habitats,terrestrial,4
salt marsh,marine,1
coastal dune system,terrestrial,4
Hawaiian Forests,terrestrial,2
pelagic ecosystem,aquatic,1
coastal areas,terrestrial,1
river corridors,terrestrial,1
cultivated ecosystem,terrestrial,1
non-cultivated ecosystem,terrestrial,1
roadside ecosystem,terrestrial,3
Salt marsh,terrestrial,2
British Isles Ecosystem,terrestrial,1
pristine island ecosystems,terrestrial,1
estuarine,aquatic,10
wild environments,terrestrial,1
dry bluff prairie ecosystem,terrestrial,1
fungal resource ecosystem,terrestrial,1
Loire River ecosystem,aquatic,1
Antarctic terrestrial ecosystems,terrestrial,2
abandoned agricultural fields,terrestrial,1
Southwest Atlantic,marine,1
northern Hardwood forests,terrestrial,1
Eucalyptus plantations,terrestrial,1
pine forest ecosystem,terrestrial,1
freshwater wetlands,aquatic,4
urban areas,terrestrial,7
European freshwater ecosystems,aquatic,7
sagebrush-steppe ecosystem,terrestrial,1
post-fire ecosystem,terrestrial,1
subantarctic forests,terrestrial,1
Caspian Sea ecosystem,aquatic,1
natural environments,terrestrial,4
tropical Atlantic mangrove forest,terrestrial,1
Fuegian steppe,terrestrial,2
various European ecosystems where C. ohridella spreads,terrestrial,1
Euro-Mediterranean freshwater,aquatic,1
invaded ecosystem,terrestrial,3
hemlock forests,terrestrial,1
hardwood forests,terrestrial,2
Salt marsh ecosystem,aquatic,1
cloud forests,terrestrial,2
Southern Fuegian Channels,marine,1
fire-dependent ecosystems,terrestrial,1
rare community types,terrestrial,1
dunes ecosystem,terrestrial,1
littoral rainforests,terrestrial,1
tree habitats,terrestrial,1
recipient communities,-,1
forest fragments,terrestrial,1
continuous forests,terrestrial,1
soil ecosystem,terrestrial,14
subantarctic ecosystem,terrestrial,1
Marine ecosystem,marine,16
SW Atlantic coastal lagoon,aquatic,1
dam ecosystem,aquatic,1
tallgrass prairie ecosystem,terrestrial,2
streams and rivers,aquatic,1
tropical lakes,aquatic,2
South American ecosystems,-,1
riparian forests,terrestrial,7
ecological zones of Arizona–California,terrestrial,1
Mediterranean Basin,terrestrial,6
Forest ecosystem,terrestrial,5
sub-Antarctic terrestrial ecosystems,terrestrial,1
open dunes ecosystem,terrestrial,1
pine forests ecosystem,terrestrial,1
deciduous forests,terrestrial,5
semitarid ecosystem,terrestrial,1
recipient communities,terrestrial,2
garden ponds,aquatic,1
arid Australian shrubland ecosystem,terrestrial,1
arid ecosystem,terrestrial,6
invaded rivers,aquatic,1
aquatic habitats,aquatic,1
Florida Coastal Everglades,aquatic,1
native forest ecosystems,terrestrial,1
lakes,aquatic,3
estuarine mudflats,aquatic,1
coralligenous,marine,1
Arctic ecosystem,marine,1
heathland,terrestrial,6
riparian community,terrestrial,1
meadow patches,terrestrial,1
Australian tropics,terrestrial,1
temperate-boreal forests,terrestrial,1
freshwater fisheries,aquatic,1
continental aquatic ecosystems,aquatic,1
subtidal rocky reef ecosystem,marine,1
marine systems,marine,8
riparian areas,terrestrial,2
Pampas,terrestrial,4
Mediterranean forest ecosystem,terrestrial,1
global biodiversity hotspots,terrestrial,1
boreal,terrestrial,2
mixed cork oak and pine forests,terrestrial,1
woody weed ecosystem,terrestrial,1
Alpine ecosystem,terrestrial,2
native plant community,terrestrial,3
Caldenal savannas,terrestrial,1
Lake Balaton ecosystem,aquatic,1
coastal forest ecosystems,terrestrial,1
Mediterranean habitats,terrestrial,1
communities and ecosystems,-,1
introduced ecosystem,terrestrial,1
ecosystem-transforming,-,1
terrestrial plant communities,terrestrial,1
island systems,terrestrial,2
highly modified ecosystem,aquatic,1
tussock grassland ecosystem,terrestrial,1
agricultural mosaic,terrestrial,1
dry eucalypt forest,terrestrial,1
seagrass meadows,marine,3
shrub-steppe ecosystem,terrestrial,3
rockpool ecosystem,aquatic,1
headwater streams,aquatic,1
Cerrado,terrestrial,9
tropical forested ecosystem,terrestrial,1
soil,terrestrial,3
chickpea farming ecosystem,terrestrial,1
New England hemlock forests,terrestrial,1
European waters,marine,2
Nordic seas,marine,1
agro-ecological landscapes,terrestrial,1
high mountain lakes,aquatic,2
Protected Areas in Georgia,terrestrial,1
Chilean semi-natural grasslands,terrestrial,1
Mediterranean-climate regions,terrestrial,4
terrestrial ecoregions,terrestrial,2
seasonal deciduous forest,terrestrial,1
marine rocky shore,marine,1
temperate forest ecosystem,terrestrial,6
aquatic systems,aquatic,12
cypress domes,terrestrial,1
dioecious environmental weed ecosystem,terrestrial,1
Eastern Mediterranean marine ecosystem,marine,3
Atlantic coastal ecosystem,marine,2
rural and urban areas,terrestrial,1
North Sea ecosystem,marine,4
indigenous forests,terrestrial,2
alienated land,terrestrial,1
European ecosystem,-,2
insular ecosystem,terrestrial,3
Atlantic Ocean river basin,aquatic,1
floodplain lake ecosystem,aquatic,1
Arctic,terrestrial,2
artificial waterways,aquatic,1
Mediterranean climate regions,terrestrial,2
Cool temperate ecosystem,terrestrial,1
Australia,terrestrial,2
dune ecosystem,terrestrial,5
Coastal Ecosystem,terrestrial,1
Mediterranean marshes,aquatic,1
montane ecosystem,terrestrial,2
upland forests,terrestrial,2
native forests in Australia,terrestrial,1
cold environments,terrestrial,1
biological control program,terrestrial,1
colder climates,terrestrial,1
kelp forests,marine,4
mountain Chaco woodland,terrestrial,1
inland-lake complex,aquatic,1
pleuston,aquatic,1
Rocky Intertidal Ecosystem,marine,1
Santa Catarina state ecosystem,-,1
recipient ecosystems,-,6
recipient ecological network,-,1
ecological networks,-,1
Eucalypt forests,terrestrial,1
wetland systems,aquatic,1
temperate ecosystem,terrestrial,10
urban ecosystems,terrestrial,14
woodland ecosystem,terrestrial,3
riparian neoecosystem,terrestrial,1
Mediterranean coastline ecosystems,terrestrial,1
urban environment,terrestrial,7
ruderal,terrestrial,1
natural,terrestrial,1
inland wetlands,aquatic,2
Baltic Sea,marine,4
new ecosystem,-,1
tropical savannah,terrestrial,1
global,-,4
soil ecosystems,terrestrial,2
conservation area ecosystem,terrestrial,1
insular ecosystems,terrestrial,6
New England coastal habitats,marine,1
Mediterranean-type ecosystems,terrestrial,2
temperate and Mediterranean ecosystems,terrestrial,1
semi-arid ecosystems,terrestrial,1
European ecosystems,-,4
Mediterranean coastal ecosystem,terrestrial,2
tundra,terrestrial,3
boreal forest,terrestrial,5
uplands,terrestrial,1
Atlantic coral reefs,marine,1
Patagonian steppe,terrestrial,4
A. araucaria forest,terrestrial,1
mesophotic coral ecosystems (MCEs),aquatic,1
forestry ecosystem,terrestrial,1
Great Lakes,aquatic,4
broader ecological community,-,1
cloud-forest,terrestrial,1
pastoral land,terrestrial,1
semi-arid lands,terrestrial,1
reef ecosystem,marine,9
western Atlantic Ocean,marine,1
inland aquatic ecosystems,aquatic,1
European marine ecosystem,marine,1
Mediterranean macroalgal stands,marine,1
lotic freshwater ecosystem,aquatic,1
European waters,aquatic,4
interface between aquatic and terrestrial ecosystems,aquatic/terrestrial,1
forests and woodlands,terrestrial,1
trophic niche,ecological,1
Northern Tallgrass Prairie fragment,terrestrial,1
invaded plant communities,terrestrial,3
natural environments,-,1
Yungas forest ecosystem,terrestrial,1
Neotropical basin ecosystem,aquatic,1
urban system,terrestrial,1
agricultural system,terrestrial,2
natural system,terrestrial,1
urban ecosystem,-,1
forest environments,terrestrial,1
natural areas,terrestrial,4
macro-fouling community,marine,1
rocky reef communities,marine,1
commercial fruit orchards,terrestrial,1
tropical ecosystems,terrestrial,3
riparian ecosystems,aquatic,4
marine food web,marine,1
arable fields,terrestrial,1
ruderal sites,terrestrial,1
arctic ecosystem,terrestrial,2
Australasian ecosystems,-,1
sandy savanna,terrestrial,1
Antarctic ecosystems,terrestrial,3
saltmarshes,terrestrial,1
humid tropics and subtropics,terrestrial,1
aquaculture ecosystem,aquatic,4
managed landscapes,terrestrial,1
Terrestrial ecosystem,terrestrial,5
Freshwater Ecosystem,aquatic,6
seaweed forest,marine,1
woodland systems,terrestrial,1
Paraná pine forest,terrestrial,1
aquatic environment,aquatic,3
tropical system,terrestrial,1
mountain ecosystem,terrestrial,12
ecological classes (Gower classes),terrestrial,1
Pinaceae Trees Ecosystem,terrestrial,1
artificial ponds,aquatic,1
cultivated wheat fields,terrestrial,1
soil fauna,terrestrial,1
Baltic Sea,aquatic,2
meadow ecosystem,terrestrial,5
Native Vegetation Communities,terrestrial,1
Urban Environments,terrestrial,1
semi-arid regions,terrestrial,1
native range,terrestrial,1
invasive range,terrestrial,1
lakes and rivers,aquatic,1
apiculture,terrestrial,2
wild bee ecosystems,terrestrial,1
Toamasina region ecosystem,terrestrial,1
aquaria,aquatic,1
ecosystems in south Chiapas,terrestrial,1
waterways,aquatic,1
elevation gradient ecosystem,terrestrial,1
low salinity ponds,aquatic,1
Andean forest ecosystem,terrestrial,1
global apiculture,terrestrial,1
floodplain ecosystem,aquatic,5
Baltic Sea ecosystem,aquatic,5
natural environment,-,2
thermosclerophyllous woodland,terrestrial,1
Europe,terrestrial,2
energy crop ecosystems,terrestrial,1
River ecosystem,aquatic,3
Argentinian grasslands,terrestrial,1
Caribbean Region,terrestrial/marine,1
"forests, urban and other landscapes",terrestrial,1
Western Europe,terrestrial,1
Great Basin,terrestrial,1
shallow-water marine communities,marine,1
terrestrial ecosystem of Antipodes Island,terrestrial,1
riparian zones,terrestrial,4
forest–grassland mosaics,terrestrial,1
Patagonian temperate forest,terrestrial,1
arid ecosystems,terrestrial,1
connected aquatic ecosystems,aquatic,1
riparian system,terrestrial/aquatic,1
dryland,terrestrial,2
eastern Australian rainforests,terrestrial,1
novel environment,-,1
Mediterranean mountains,terrestrial,1
tropical zone,terrestrial,1
nesting sites,terrestrial,1
Pampean Mountain grasslands,terrestrial,1
neo-ecosystems,terrestrial,1
unspecified,-,1
wetland communities,aquatic,1
Patagonian freshwater environments,aquatic,1
adjacent aquatic systems,aquatic,1
new environment,-,1
soft bottom communities,aquatic,1
high mountain woodland,terrestrial,1
Mediterranean biome communities,terrestrial,1
mountain meadow,terrestrial,1
Ebro Delta estuarine zone,aquatic,1
knowledge ecosystem,-,1
Haida Gwaii,terrestrial,1
horticultural,terrestrial,2
chestnut ecosystem,terrestrial,2
urban environments,terrestrial,4
Espinal,terrestrial,1
Bosque ecoregion,terrestrial,1
Estepas Patagónica,terrestrial,1
alpine and subalpine ecosystems,terrestrial,1
temperate coastal environments,marine,1
European fresh waters,aquatic,1
soil food web,terrestrial,2
native wildlife ecosystem,-,1
man-made disturbed ecosystem,terrestrial,1
riparian phytocenoses,aquatic,1
anthropogenic habitats,-,1
autochthonous ecosystems,terrestrial,1
Pampean coastal dune system,terrestrial,1
Roadside ecosystem,terrestrial,1
semitarid open forest,terrestrial,1
Cerrado ecosystem,terrestrial,1
amphibian,terrestrial,1
new environments,-,1
urban-suburban landscapes,terrestrial,1
native grasslands,terrestrial,1
European forest ecosystem,terrestrial,3
Arboretum Ecosystem,terrestrial,1
seasonal semiarid subtropical forest,terrestrial,1
garden ecosystem,terrestrial,2
river system,aquatic,4
temperate grasslands,terrestrial,2
land,terrestrial,4
North American forests,terrestrial,2
Caribbean island ecosystem,terrestrial,2
mesocosm communities,terrestrial,1
resident plant communities,terrestrial,1
natural and agricultural systems,terrestrial,1
Rideau Canal Ecosystem,aquatic,1
lowland humid forest,terrestrial,1
landscape mosaics,terrestrial,1
freshwater ecoregion,aquatic,1
Lake Bourget ecosystem,aquatic,1
forests and shrublands,terrestrial,1
North American habitats,-,1
mountain lake ecosystem,aquatic,1
Mediterranean environment,terrestrial,1
urban centers,terrestrial,1
natural and semi-natural eco-systems,terrestrial,1
commercial plantations,terrestrial,1
Tapia woodland,terrestrial,1
Grinnellian niche concept,-,1
Mediterranean region,terrestrial,2
pond ecosystems,aquatic,2
Brazilian freshwater ecosystems,aquatic,2
natural ecosystems,-,8
tropical forest,terrestrial,10
ecosystems,terrestrial/aquatic,1
agroforestry parklands,terrestrial,1
plantation ecosystem,terrestrial,1
rangelands,terrestrial,7
Mediterranean river ecosystem,aquatic,2
coastal water environments,aquatic,1
native ecosystem,terrestrial,1
reserve network,terrestrial,1
lowland wet forests,terrestrial,1
insular ecosystem,-,1
polar tundra,terrestrial,1
dune system,terrestrial,1
Mediterranean dune,terrestrial,1
coastal reserves,terrestrial,1
ecosystem integrity,-,1
terrestrial Antarctica,terrestrial,1
Kimberley environment,-,1
coastal habitats,marine,1
natural vegetation,terrestrial,1
terrestrial communities of Maritime Antarctic,terrestrial,1
Indian ecosystems,terrestrial,1
halophilous grassland,terrestrial,1
matorral,terrestrial,1
sagebrush ecosystem,terrestrial,3
tidal estuarine wetland,aquatic,1
deep-sea ecosystem,marine,1
forest systems,terrestrial,3
Irish ecosystem,terrestrial,2
iSimangaliso Wetland Park,terrestrial/aquatic,1
Alps,terrestrial,2
New Zealand,terrestrial,1
Mindu and Kidatu water systems,aquatic,1
