Habitat Name,Type,Ecosystem Type,Count
urban areas and man-modified landscape mosaics,terrestrial,terrestrial bird assemblages,1
benthic flora,marine,coastal ecosystems,1
maerl habitat,marine,coastal ecosystems,1
seaweed canopies,marine,coastal ecosystems,1
landscape,terrestrial,British ecosystem,1
local,terrestrial,British ecosystem,1
savanna plantation,terrestrial,tropical savanna,1
Lakes in Northern Europe,aquatic,-,1
yellowbush litter,terrestrial,renosterveld vegetation,1
artificial coastal defense structures,marine,Biogenic reefs,1
coastal,marine,Biogenic reefs,1
watersheds,aquatic,freshwater ecosystems,2
stream habitat,aquatic,river ecosystem,2
riparian zone,terrestrial,riparian zone ecosystem,1
rivers,aquatic,-,13
honeybee hives,terrestrial,hilly and woody area,1
wheat fields,terrestrial,wheat ecosystem,1
island habitat,terrestrial,island ecosystems,4
-,marine,marine ecosystems,2
saltwater areas,marine,marine ecosystem,1
freshwater areas,aquatic,freshwater ecosystem,1
flooded waters,aquatic,hybrid zone,1
-,terrestrial,-,38
in-stream barriers,aquatic,freshwater ecosystems,1
elevational gradients,terrestrial,cloud forest,1
fouling community habitat,marine,marine ecosystem,1
urban areas,terrestrial,-,11
natural forest habitats,terrestrial,forest ecosystem,1
freshwater units,aquatic,aquatic ecosystem,1
riparian zone,terrestrial,boreal forest ecosystem,1
planktonic bacterial community,aquatic,aquatic mesocosm ecosystems,1
freshwater habitats,aquatic,freshwater,11
fragmented landscape,-,-,1
Lake Habitat,aquatic,Lake Constance Ecosystem,1
host plants,terrestrial,-,4
freshwater habitats,aquatic,subarctic freshwater ecosystems,1
estuaries,aquatic,estuaries,2
environmental niche,aquatic/terrestrial/marine,climatic niche,1
tomato agroecosystem,terrestrial,agroecosystem,1
Teleplanic Larval Stage Habitat,marine,Marine Ecosystem,1
coastal marine habitat,marine,coastal marine communities,1
river habitats,aquatic,river ecosystem,1
streams and rivers,aquatic,freshwater,1
wet meadows,terrestrial,-,1
anthropogenic habitats,terrestrial,-,5
hotter location,-,tropical Australia,1
cooler location,-,tropical Australia,1
areas of high plant endemism,terrestrial,Areas of high conservation value (AHCV),1
protected areas,terrestrial,Areas of high conservation value (AHCV),1
freshwater,aquatic,aquatic,5
urbanized habitats,terrestrial,-,1
hive,terrestrial,N/A,1
-,aquatic,-,26
chestnut tree,terrestrial,chestnut forest ecosystem,1
large rivers,aquatic,wetlands,1
smaller wetlands,aquatic,wetlands,1
suboptimal areas,aquatic,wetlands,1
microcosms,terrestrial,terrestrial plant ecosystem,1
gut tissue,-,-,1
hemolymph,-,-,1
fat body tissue,-,-,1
waters,marine,marine,1
MGRS habitat,terrestrial,-,1
agricultural areas,terrestrial,agricultural areas,1
open meadow,terrestrial,herbaceous plant community,1
understory,terrestrial,herbaceous plant community,1
honeybee colonies,terrestrial,-,1
solitary bee nests,terrestrial,-,1
flowers,terrestrial,-,1
ruderal habitat,terrestrial,ruderal habitat,1
intertidal soft-sediment,marine,marine,1
N/A,terrestrial,N/A,1
forest habitat,terrestrial,forest ecosystems,1
-,-,forest,2
current suitable habitat,-,-,1
future distributions,-,-,1
captive (farmed) conditions,aquatic,freshwater ecosystem,1
naturalised conditions,aquatic,freshwater ecosystem,1
mud-tidal habitat,marine,intertidal ecosystem,1
intertidal habitat,marine,coastal ecosystem,1
native forest,terrestrial,tropical rainforest,1
forest,terrestrial,-,16
shielded environments,-,-,1
urban environments,terrestrial,-,4
urban wetlands,aquatic,urban wetland systems,1
streambed,aquatic,alpine ecosystem,1
lakes,aquatic,lake ecosystems,2
outlets with mineral bed and medium current velocity,aquatic,lake–river ecotone,1
projected suitable habitat,terrestrial,terrestrial ecosystem,1
monospecific clumps,aquatic,estuarine ecosystem,1
islands,terrestrial,island ecosystems,2
sediment,aquatic,estuary ecology,1
surface layer,aquatic,sediment,1
bottom,aquatic,sediment,1
degradation areas,aquatic,sediment,1
habitats of crayfish,aquatic,-,1
alpine snow-meadows,terrestrial,alpine ecosystem,1
leeward slopes of alpine dwarf pine clumps,terrestrial,alpine ecosystem,1
roadside environment,terrestrial,forest,1
cargo ships,aquatic,-,1
Mediterranean wetland,aquatic,aquatic ecosystem,1
coastal habitat,terrestrial,coastal ecosystem,1
harbor walls,marine,harbor ecosystem,1
bottom,aquatic,harbor ecosystem,1
seaweed habitat,aquatic,aquatic ecosystem,1
streams,aquatic,freshwater ecosystems,1
breeding habitat,terrestrial,-,1
native forest,terrestrial,Hawaiian forest ecosystem,1
invaded sites,terrestrial,Hawaiian forest ecosystem,1
northern common gardens,terrestrial,common gardens,1
southern common gardens,terrestrial,common gardens,1
Freshwater habitat,aquatic,Freshwater ecosystems,1
habitat patches,aquatic,-,1
Populus deltoides riparian forests,terrestrial,riparian ecosystem,1
rivers,aquatic,native ecosystems,1
rivers,aquatic,Arno water system,1
habitat characteristics,-,-,1
mangroves drainages,aquatic,Everglades ecosystem,1
canal,aquatic,Everglades ecosystem,1
water column,aquatic,aquatic ecosystem,2
habitat scale,terrestrial,-,1
Rosa multiflora-invaded forest fragments,terrestrial,forest,1
Rosa multiflora-free forest fragments,terrestrial,forest,1
freshwater coastal wetlands,aquatic,coastal wetlands,1
desert habitat,terrestrial,desert ecosystem,1
river,aquatic,freshwater ecosystem,6
canal system,aquatic,Everglades ecosystem,1
espinal,terrestrial,savanna,1
espinal-sclerophyllous forest transition,terrestrial,savanna,1
benthic community,aquatic,coastal ecosystem,1
high ragweed occurrences habitats,-,-,1
island habitats,terrestrial,arid-tropical ecosystem,1
freshwater,aquatic,large river floodplain,1
headwater nodes,aquatic,fluvial network,1
downstream nodes,aquatic,fluvial network,1
outdoor mesocosm,aquatic,aquatic system,1
coastal wetlands,aquatic,Laurentian Great Lakes coastal wetlands,1
aquaria,aquatic,freshwater,2
field,aquatic,freshwater,1
open water,aquatic,Delta ecosystem,1
submerged macrophytes,aquatic,Delta ecosystem,1
emergent marsh,aquatic,Delta ecosystem,1
floating pontoons in a recreational marina,marine,marine ecosystems,1
water column,aquatic,coral reef,1
Nesting sites,terrestrial,European ecosystem,1
rocky reefs,marine,rocky reef ecosystem,2
native grass-dominated areas,terrestrial,grassland,1
areas dominated by Eragrostis lehmanniana,terrestrial,grassland,1
areas dominated by Eragrostis curvula,terrestrial,grassland,1
lake,aquatic,ecosystem_structure,1
tidal wetlands,aquatic,estuarine ecosystems,1
scavenging habitat,terrestrial,terrestrial,1
streamside,terrestrial,riparian,1
agriculture,terrestrial,Greater Everglades ecosystem,1
freshwater wetland,aquatic,Greater Everglades ecosystem,1
saline wetland,aquatic,Greater Everglades ecosystem,1
upland,terrestrial,Greater Everglades ecosystem,1
open water,aquatic,Greater Everglades ecosystem,1
urban land cover,terrestrial,Greater Everglades ecosystem,1
aquaria,aquatic,marine coastal ecosystem,1
coastal marine habitat,marine,marine coastal ecosystem,1
closed-canopy forests,terrestrial,tropical forests,1
post-agricultural secondary forests,terrestrial,tropical forests,1
dry forests,terrestrial,tropical forests,1
leaf litter,terrestrial,rainforest,1
enemy-free space,terrestrial,rainforest,1
post-fire plant communities,terrestrial,native ecosystems,1
plant communities,terrestrial,terrestrial ecosystem,1
freshwater,aquatic,microcosm communities,1
open woodland,terrestrial,forest ecosystem,1
closed forest,terrestrial,forest ecosystem,1
river,aquatic,animal community,1
patches of seagrass,aquatic,-,1
intertidal mudflats,aquatic,mangrove forest,1
open mudflats,aquatic,mangrove forest,1
mangrove understory,terrestrial,mangrove forest,1
open gaps in mangrove forests,terrestrial,mangrove forest,1
1-m2 plots,terrestrial,grasslands,1
rhizosphere soil,terrestrial,wetland ecosystem,1
nature reserves,terrestrial,nature reserves ecosystem,2
freshwater habitats,aquatic,-,11
soil,terrestrial,forest ecosystems,2
soil,terrestrial,grassland ecosystems,1
intertidal boulders,marine,intertidal ecosystem,1
soil,terrestrial,forest,2
greenhouse,terrestrial,common garden ecosystem,1
acacia-ant community,terrestrial,East African savanna,1
invaded habitat,terrestrial,acacia-ant community,1
forest habitat,terrestrial,forest ecosystem,11
soil within greenhouse,terrestrial,greenhouse ecosystem,1
kelp assemblages,marine,kelp forest ecosystem,1
benthic habitat,aquatic,benthic ecosystem,1
islands,-,-,1
barnacle bed habitats,marine,high intertidal ecosystem,1
agricultural fields,terrestrial,crop ecosystems,1
rivers,aquatic,island ecosystem,2
riverine habitat,aquatic,river ecosystem,2
tidal channels,aquatic,tidal wetlands,1
salt marsh habitats,aquatic,salt marshes,1
riverbank habitat,aquatic,agroecosystem,1
soil,terrestrial,forests,3
macrophytes,aquatic,Andean headwater river ecosystem,1
bryophytes,aquatic,Andean headwater river ecosystem,1
leaf litter,aquatic,Andean headwater river ecosystem,1
layers of travertine,aquatic,Andean headwater river ecosystem,1
springs,aquatic,spring ecosystem,1
pool springs,aquatic,spring ecosystem,1
flowing springs and seepages,aquatic,spring ecosystem,1
"water bodies (springs, channels, ditches, pond)",aquatic,urban park,1
standing waters,aquatic,-,1
ballast water,aquatic,marine ecosystem,6
microhabitat,terrestrial,terrestrial,1
rhizospheric soil,terrestrial,ecosystem,1
topsoil,terrestrial,ecosystem,1
ephemeral wetlands,aquatic,-,1
permanent wetlands,aquatic,-,1
native grassland,terrestrial,grassland,1
planted grassland,terrestrial,grassland,1
habitat of bullhead and freshwater blenny,aquatic,Lake Geneva ecosystem,1
habitats used by raptors,terrestrial,-,1
habitats with invasive grasses,terrestrial,-,1
habitats with native shrubs,terrestrial,-,1
grazing areas,terrestrial,local ecosystem at Macubeni,1
euphotic zone,aquatic,lake ecosystem,1
benthic habitat,marine,temperate coastal ecosystem,1
littoral habitats,aquatic,Lake Erie ecosystem,1
profundal habitats,aquatic,Lake Erie ecosystem,1
hypolimnion,aquatic,Lake Erie ecosystem,1
Benthic habitat,aquatic,Benthic ecosystem,1
Degraded dryland habitats,terrestrial,Dryland ecosystem,1
inhabited islands,terrestrial,island ecosystem,1
fields,terrestrial,-,1
greenhouses,terrestrial,-,7
agroforest habitat,terrestrial,agro-ecosystem,1
island habitat,terrestrial,-,1
open-field cultivation,terrestrial,open-field cultivation ecosystem,1
soil,terrestrial,agricultural ecosystem,2
natural areas,terrestrial,agroecosystems,1
various crops,terrestrial,-,1
wetland habitats,aquatic,Large Freshwater Marsh,1
grasslands,terrestrial,wetland habitats,1
reed beds,terrestrial,wetland habitats,1
canals,aquatic,Large Freshwater Marsh,1
riparian margin,terrestrial,riparian system,1
water holes,aquatic,aquatic ecosystem,1
artificial ponds,aquatic,aquatic ecosystem,1
floodplain lagoons,aquatic,aquatic ecosystem,1
secondary channels,aquatic,floodplain ecosystem,1
main river channel,aquatic,floodplain ecosystem,1
mainstream habitats,aquatic,River Ecosystem,1
tributaries,aquatic,River Ecosystem,1
alluvial bars,terrestrial,riparian plant communities,1
islands and river margins,terrestrial,riparian plant communities,1
temporary non-regulated stretch,aquatic,Mediterranean temporary rivers,1
regulated stretches,aquatic,Mediterranean temporary rivers,1
"high (source), medium (transition), and low (confluence) stretches",aquatic,Mediterranean temporary rivers,1
riparian forest,terrestrial,riparian forest and stream ecosystem,1
headwater stream,aquatic,riparian forest and stream ecosystem,1
shoreline mesohabitats,aquatic,riverine ecosystem,1
-,-,freshwater,2
superficial waters,aquatic,aquatic,1
eutrophic-isolated lakes,aquatic,shallow lake landscapes,1
diverse-connected lakes,aquatic,shallow lake landscapes,1
shallow sandy environments,aquatic,freshwater ecosystem,1
freshwater habitats,aquatic,freshwater ecosystems,8
riverine landscape,aquatic,aquatic ecosystem,1
flooded area,aquatic,aquatic ecosystem,1
lowland river,aquatic,riverine ecosystem,1
heterogeneous landscape,terrestrial,landscape,1
agriculture,terrestrial,ecological resources,1
breeding sites,terrestrial,Mediterranean island ecosystem,1
sites near the coastline,aquatic,-,1
shrubs,terrestrial,chenopod shrublands,1
rivers,aquatic,Italian freshwater ecosystem,1
Catalan streams,aquatic,Mediterranean streams,1
river,aquatic,Danube River Basin,1
freshwater habitats,aquatic,freshwater systems,2
marine habitat,marine,marine environments,1
protected areas,terrestrial,terrestrial ecosystem in Western Indian Ocean Islands,1
invaded habitats,terrestrial,terrestrial ecosystem in Western Indian Ocean Islands,1
shallows of the main channel and tributary creeks,aquatic,-,1
wave-swept rocks,aquatic,benthic community in the lower Great Lakes,1
mussel mats,aquatic,brackish lagoon ecosystem,1
soft-sediments,aquatic,brackish lagoon ecosystem,1
rain forest patch,terrestrial,tropical rain forest,1
savanna habitats,terrestrial,-,1
deepwater habitats,aquatic,wetland,1
terrestrial habitats,terrestrial,wetland,1
Wetland,aquatic,Great Lakes Coastal Wetland,1
nearshore areas,aquatic,lake ecosystem,1
offshore region,aquatic,lake ecosystem,1
benthos,aquatic,lake ecosystem,1
rivers,aquatic,freshwater ecosystems,6
riparian corridors,terrestrial,stream ecosystems,1
permanent ponds,aquatic,fresh waters,1
temporary habitats,aquatic,fresh waters,1
river,aquatic,riverine ecosystem,3
river mouth,aquatic,riverine ecosystem,1
streams,aquatic,freshwater ecosystem,2
macrophyte beds,aquatic,Iberian Alpine Lake Ecosystem,1
coastal areas,terrestrial,five climatic regions,1
inland areas,terrestrial,five climatic regions,1
coastal,aquatic,freshwater,1
mountain habitats,terrestrial,-,1
tropical habitat,terrestrial,tropical ecosystem,2
beneath rocks,terrestrial,-,1
tree bases,terrestrial,-,1
arboreal habitats,terrestrial,forest ecosystem,1
ground habitats,terrestrial,forest ecosystem,1
stream,aquatic,-,6
aquatic vegetation,aquatic,freshwater ecosystem,1
invaded salt marshes,aquatic,salt marshes,1
natural salt marshes,aquatic,salt marshes,1
salmon pens,aquatic,lake ecosystems,1
salmon pens,marine,marine ecosystems,1
Greenhouse environment,terrestrial,Greenhouse experiment,1
ponds,aquatic,angling ponds,1
lakes,aquatic,freshwater ecosystem,3
freshwater,aquatic,aquatic ecosystems,4
lagoon habitat,aquatic,Venice lagoon ecosystem,1
benthic habitat,marine,marine ecosystem,1
soft-sediment,marine,marine,1
oyster farming areas,marine,marine ecosystem,1
marine debris,marine,marine ecosystem,1
-,marine,-,14
mussel zone,marine,marine ecosystem,1
subtidal assemblages,aquatic,marine ecosystem,1
concrete surfaces near the surface of the water,aquatic,marine ecosystem,1
wooden surfaces,aquatic,marine ecosystem,1
river systems,aquatic,-,2
kelp beds,aquatic,rocky subtidal ecosystem,1
planktonic,marine,marine ecosystem,1
filter-feeding habitat,aquatic,-,1
intertidal zone,marine,intertidal ecosystem,2
sea-walls of commercial harbours,marine,marine,1
natural rocky cliffs,marine,marine,1
European coastal waters,marine,marine ecosystem,1
artificial and natural substrates,marine,marine ecosystem,1
marine environment,marine,Mediterranean Basin,1
reef terraces,marine,Caribbean reefs,1
coastal marine waters,marine,marine,1
reefs,marine,marine ecological services,1
surface of Caulerpa cylindracea,aquatic,coastal ecosystem,1
anthropogenically impacted habitat,aquatic,eutrophic ecosystem,1
natural habitat,aquatic,eutrophic ecosystem,1
unstable habitat with significant salinity and temperature changes,aquatic,-,1
Mediterranean Sea habitat,marine,Mediterranean ecosystem,1
marine habitat,marine,aquatic ecosystem,2
marine habitats,marine,Mediterranean marine ecosystem,1
brackish,aquatic,marine,1
benthic,aquatic,-,7
coastal zone,marine,estuarine ecosystem,1
deep waters,marine,Gulf of Mexico,1
reef crest habitat,marine,Hawaiian marine ecosystem,1
reef flat habitat,marine,Hawaiian marine ecosystem,1
marine habitat,marine,marine ecosystem,23
mud flats,marine,marine ecosystem,1
sandy beaches,terrestrial,sandy beach ecosystem,1
subtidal areas,aquatic,euhaline conditions,1
intertidal areas,aquatic,euhaline conditions,1
rocky reef habitats,marine,coastal marine ecosystems,1
fouling environment,aquatic,aquatic ecosystem,1
fouling,marine,marine,1
Bare sandy flats,marine,Lower Shore Ecosystem,1
intertidal,marine,marine realm,1
River water,aquatic,Aquatic environment,1
River sediment,aquatic,Aquatic environment,1
vegetation units,terrestrial,grasslands of the flooding Pampa,1
Tomato plants,terrestrial,terrestrial,1
coral reef,marine,coral reef ecosystem,1
soils,terrestrial,-,1
phyllosphere,terrestrial,-,1
open waters with strong freshwater influence,marine,marine phytoplankton,1
high nutrient concentration areas triggered by water column mixing,marine,marine phytoplankton,1
riparian forest,terrestrial,stream ecosystem,1
stream,aquatic,stream ecosystem,3
streams,aquatic,riparian ecosystem,2
amended soil,terrestrial,soil community,1
trees,terrestrial,mixed deciduous woodland,1
ground,terrestrial,mixed deciduous woodland,1
territories,aquatic,Lake Victoria ecosystem,1
microhabitat close to escape trees,terrestrial,-,1
waterbodies,aquatic,freshwater ecosystems,1
novel arena environment,terrestrial,tropical Australia,1
rural-native habitat,terrestrial,-,1
floodplains,terrestrial,riparian ecosystem,1
reservoir margins,aquatic,riparian ecosystem,1
wetlands,aquatic,riparian ecosystem,1
aquatic habitat,aquatic,aquatic ecosystem,8
Tree cavities,-,-,1
embankment,terrestrial,-,1
soil-stored seed banks,terrestrial,riparian landscape,1
Residential permanent plots,terrestrial,Urban forest,1
Molentargius-Saline Regional Natural Park,aquatic,urban context,1
pasture below potential timberline,terrestrial,grassland ecosystem,1
crop fields,terrestrial,Mediterranean dry cereal agro-ecosystem,1
teak habitats,terrestrial,-,1
estuary habitat,aquatic,pelagic community,1
higher-altitude municipalities,terrestrial,-,1
freshwater environments,aquatic,freshwater ecosystems,2
landholdings of agro-pastoralists and crop farmers,terrestrial,agroecosystem,1
station alcohol bond store,terrestrial,Antarctic Ecosystem,1
station sewage facilities,terrestrial,Antarctic Ecosystem,1
southeast Macquarie Island,terrestrial,subantarctic,1
areas with tussac grass,terrestrial,marine-terrestrial interface,1
areas with gorse,terrestrial,marine-terrestrial interface,1
Antarctic Treaty area,terrestrial,Antarctic,1
north-east coast of South Georgia,terrestrial,terrestrial ecosystem of South Georgia,1
tidal drift line,marine,-,1
rivers and alluvial plains,aquatic,-,1
Poa tussock grassland,terrestrial,-,1
Pringlea vegetation,terrestrial,-,1
Azorella vegetation,terrestrial,-,1
Fellfield,terrestrial,-,1
intertidal zones,aquatic,intertidal zones,1
cold-temperate waters,marine,Subantarctic and Antarctic regions,1
site of introduction and immediate surroundings,terrestrial,Antarctic ecosystem,1
supply vessels,marine,-,1
cargo facilities,terrestrial,-,1
sub-Antarctic islands,terrestrial,sub-Antarctic ecosystem,1
moss beds,terrestrial,terrestrial ecosystems,1
soils,terrestrial,terrestrial ecosystems,1
moss carpet formation,terrestrial,maritime Antarctic,1
area around the research station,terrestrial,sub-Antarctic,1
terrestrial site,terrestrial,Antarctic ecosystem,1
ornamental plants,terrestrial,-,1
areas with tall and medium-height vegetation,terrestrial,sub-antarctic insular ecosystem,1
tussock grass,terrestrial,coastal lowland ecosystem,1
intertidal zone,marine,reef communities of Brazilian rocky shores,1
mid- and lower-intertidal fringes,marine,reef communities of Brazilian rocky shores,1
reef fisheries,aquatic,Gulf of Mexico,1
coastal habitat,marine,marine ecosystem,1
temperate range edge,marine,temperate ecosystems,1
freshwater habitat,aquatic,Erhai Lake ecosystem,1
Wetland,aquatic,Chabalang Wetland Ecosystem,1
early goldenrod patches,terrestrial,invaded ecosystems,1
grassland vegetation,terrestrial,invaded ecosystems,1
grassland community,terrestrial,terrestrial ecosystems,1
soil,terrestrial,soil microbial communities,1
valley and outside-valley habitats,terrestrial,terrestrial ecosystem,1
soils,terrestrial,multispecies native vegetation,1
invaded regions,terrestrial,ecosystems,1
non-native environments,terrestrial,ecosystems,1
Nests of Cory's shearwater,terrestrial,Seabird colony ecosystem,1
alien reproductive populations,terrestrial,European ecosystems,1
urban area,terrestrial,-,4
colonial nests,terrestrial,urban ecosystem,1
ephemeral water bodies,aquatic,-,1
permanent water bodies,aquatic,-,1
experimental channels,aquatic,stream food web,1
epibenthic community,marine,marine ecosystem,1
foredune plant species habitat,terrestrial,Coastal foredunes,1
flower heads,terrestrial,sand prairie,1
habitats of British gooseberries,terrestrial,natural populations,1
coastal area dominated by Opuntia galapageia,terrestrial,Galápagos archipelago,1
understory,terrestrial,deciduous forest ecosystem,1
forest understory,terrestrial,deciduous forest,3
aquatic habitat,aquatic,Mediterranean ecosystem,2
forest floor,terrestrial,hardwood forest ecosystem,1
gallery forest gap,terrestrial,-,1
xerophytic forest grassland,terrestrial,-,1
topsoil,terrestrial,-,1
understory layers,terrestrial,forest understory,1
lake,aquatic,-,8
Caulerpa taxifolia sediments,marine,marine ecosystem,1
unvegetated sediments,marine,marine ecosystem,2
-,-,marine environment,2
soil,terrestrial,agro-ecosystems,1
natural populations,terrestrial,-,2
soil surface,terrestrial,-,2
1-year-old fallow field,terrestrial,-,1
15-year-old grassland,terrestrial,-,1
24-year-old forest,terrestrial,-,1
Asteraceae flower heads,terrestrial,cerrado ecosystem,1
eastern hemlock,terrestrial,forest,1
water bodies,aquatic,aquatic ecosystem,3
benthic,aquatic,freshwater,2
common-environment glasshouse,terrestrial,worldwide ecosystem,1
artificial plant mixtures,terrestrial,resident plant community,1
natural populations,-,natural ecosystem,1
open habitats,terrestrial,upland coastal ecosystem,1
pine-oak forest,terrestrial,upland coastal ecosystem,1
dune,terrestrial,constructed dune communities,1
plant habitat,terrestrial,terrestrial ecosystem,1
habitat of S. pterophorus,terrestrial,novel habitats,1
Safe sites,terrestrial,Grassland ecosystem,1
Greenhouse,terrestrial,-,1
freshwater habitat,aquatic,bromeliad ecosystems,1
littoral and pelagic,aquatic,-,1
soil,terrestrial,seasonal environments,1
forest fragments,terrestrial,forest ecosystems,1
Forest Floor,terrestrial,Forest Ecosystem,1
forest habitat,terrestrial,Bornean rain forest ecosystem,1
plantation habitat,terrestrial,oil palm plantation ecosystem,1
soil,terrestrial,plant community,1
woodland,terrestrial,grassland system,1
botanical garden,terrestrial,-,1
-,aquatic,freshwater ecosystems,1
eastern hemlock,terrestrial,-,1
grassland habitat,terrestrial,grassland ecosystem,4
reefs,marine,temperate reefs,1
field soils,terrestrial,-,1
submerged aquatic vegetation (SAV),aquatic,tidal estuary,1
river banks,terrestrial,temperate ecosystems,1
nitrogen-polluted margins and wastelands,terrestrial,temperate ecosystems,1
coastal vegetation,terrestrial,-,1
rhizosphere,terrestrial,soil community,1
areas behind the front with high BHA abundances,terrestrial,savanna,1
areas at the invasion front with low BHA abundances,terrestrial,savanna,1
thistle plants,terrestrial,-,1
soil seed bank habitat,terrestrial,-,1
floodplain habitat,terrestrial,floodplain,1
grassland,terrestrial,sub-Antarctic ecosystem,1
woodland,terrestrial,submontane forests,1
grassland,terrestrial,-,1
Argentine ants' native habitat,-,-,1
forest stands,terrestrial,N-limited terrestrial ecosystems,1
waterways and channels,marine,marine ecosystem of Chesapeake Bay,1
Airborne,terrestrial,Northwest Europe,1
freshwater,aquatic,wetlands,1
autoclaved soil,terrestrial,microcosm experiment,1
non-sterilized soil,terrestrial,microcosm experiment,1
fallow,terrestrial,-,1
river valley,terrestrial,-,1
crop fields,terrestrial,agro-ecosystem,1
-,-,everglades ecosystem,1
soil,terrestrial,nutrient cycling processes in the soil ecosystem,1
forest floor,terrestrial,temperate forest,1
mineral soil,terrestrial,temperate forest,1
fragmented habitats,-,food webs,1
restored tallgrass prairie,terrestrial,tallgrass prairie,1
riparian,terrestrial,stream ecosystems,2
lake,aquatic,lake ecosystem,6
