Relationship Name,Type,Count
dispersal vector,ecological,5
facilitation of disease transmission,ecological,1
phylogenetic relatedness,biological,5
invasion drivers,anthropogenic,1
gene expression influencing stress responses,biological,1
invasion of C. intratropica by A. gayanus,ecological,1
grass-fire cycle reduces canopy cover,ecological,1
change in fuel type alters fire regime,ecological,1
evolutionary and invasion dynamic,ecological,1
spawning behavior,ecological,1
genetic structure,biological,6
mtDNA paraphyly,biological,1
comparison of life-history traits,biological,1
facilitation,ecological,58
discovery-dominance trade-off,ecological,1
invasion and local adaptation,ecological,1
enemy release,ecological,7
competitive ability,ecological,4
root trait shifts,ecological/evolutionary,1
vector for invasive spread,anthropogenic,1
resource sharing and competition,ecological,1
low resource sharing,ecological,1
indigenous range,ecological,1
invasive range,ecological,5
potential distribution change,ecological,2
current climatic suitability,ecological,1
future climatic suitability,ecological,1
future climatic unsuitability,ecological,1
impact on invasion,ecological,5
threat to local honeybee colonies,ecological,1
introduction,ecological,219
causes yellow rust,biological,1
origin,biological,50
dispersal,biological,24
introduction and spread,ecological,44
ancestry,biological,1
genetic differentiation,biological,18
predator-prey interaction,ecological,24
native range,ecological,53
distribution and dispersal,ecological,5
movement patterns,biological,1
future invasion risk,ecological,2
decreased future invasion risk,ecological,1
hybridization,biological,74
spread due to hurricanes,ecological,1
introduction,biological,19
dispersal,ecological,45
distribution and richness,ecological,2
invasion peak,ecological,1
increased percentages with elevation,ecological,1
environmental uniqueness,ecological,1
competitive interactions,ecological,17
economic pest,ecological,2
invasive impact,ecological,34
distribution change,ecological,3
invasion pressure,anthropogenic,2
invasion of habitats,ecological,2
native occupation of habitats,ecological,1
trait comparison,biological,3
influence_of_vegetation_on_decomposition,ecological,1
colonization_aiding_decomposition,biological,1
predation effect,ecological,2
phenotype effect,ecological,1
introduction,anthropogenic,157
dynamics of spread,ecological,1
Habitation,ecological,1
Isotope Turnover Study,biological,1
competition for resources,ecological,22
interactive effects,ecological,3
ecological responses,ecological,1
ecological invasion impact,ecological,1
source of invasion,biological,1
introduction vector,biological,1
facilitation of spread,anthropogenic,7
invasion,biological/ecological,3
invasion potential,ecological,24
niche shift,ecological,11
genetic variation and differentiation,biological,1
niche overlap,ecological,9
invasive expansion,ecological,3
source_of_introduction,ecological,2
immigration,ecological,3
distribution and invasion potential,ecological,1
competition and co-predation,ecological,1
Distribution,ecological,2
Hybrid Zone,biological,1
spread and establishment,biological,1
native_distribution,ecological,5
invasive_distribution,ecological,5
habitat colonization,ecological,26
phenotypic plasticity,biological,3
invasion_effect,ecological,1
initial establishment,ecological,2
secondary dispersal,ecological,2
introduction origin,ecological,1
pollen source,biological,1
distribution and impact,ecological,9
Impact on performance,ecological,1
introgression,biological,9
invasion risk and establishment,ecological,1
native_range,ecological,6
introduced_range,ecological,2
adaptation_to_human_made,ecological,1
inhabitance,ecological,3
adaption,biological,1
functional diversity,ecological,1
habitat_for,ecological,2
colonization and dispersal,ecological,2
higher biomass production,ecological,1
highest relative growth rates,ecological,1
impact of climate change on species distribution,ecological,2
barrier to species spread,physical,1
phenological sequence influenced by warming,ecological,1
displacement and disease transmission,biological/ecological,1
infection,biological,61
pathogenicity,biological,4
prevention,biological,1
invasion_route,ecological,1
range shift,ecological,10
initial occupancy,ecological,1
progressive occupancy,ecological,1
factor in range shift,ecological,1
mutualistic disruption,biological,1
stimulating effect,biological,1
competitive interaction,ecological,62
parasitism,biological,151
environmental influence,ecological,15
range expansion,ecological,56
comparison of spatial ecology,ecological,1
source of introduction,ecological,1
invasive presence,ecological,22
symbiotic relationship,biological,9
genetic interaction,biological,3
invasion and range expansion,ecological,2
mitigation,biological,1
dietary niche partitioning,ecological,1
alteration of functional structure,ecological,1
allelopathic effect,biological,11
food source,ecological,4
native origin,biological,8
invasive spread,ecological,17
landscape alteration,ecological,1
adaptive divergence,ecological,2
local adaptation,ecological,7
influence on,physical,1
affected by,physical,1
associated with,ecological,1
alkaloid production,biological,2
introduction and adaptation,biological/ecological,1
colonization and ecological interaction,ecological,1
herbivory,ecological,55
origin,geographical,4
abundance-impact,ecological,1
influence on life history traits and invasive potential,ecological,1
chemical distinctiveness,ecological,1
introduced range,ecological,2
native habitat,biological,6
native/invasion origin point,biological/ecological,1
trait_comparison,ecological,1
inhabitation,ecological,9
spread,ecological,87
introduction and population growth lag,ecological,1
environmental filtering,ecological,6
stress reduction,ecological,1
stressful conditions,ecological,1
stress tolerance adaptation,ecological,1
elevated temperature effect,ecological,1
community assembly and invasion,ecological,1
invasion and abundance distribution,ecological,1
covariate influence,ecological,1
causal relationship,ecological,5
geographical distribution,ecological,6
genetic relationships,biological,1
ancestral gene flow,biological,3
genetic variation and adaptation,biological,1
correlation with adaptive loci,ecological,1
introduction and adaptation,ecological,6
trait similarity and competition,ecological,2
trade_preference,anthropogenic,2
niche overlap and ecomorphological differences,ecological,1
dietary relationship,ecological,7
seasonal dietary relationship,ecological,1
introduction and invasion,ecological,10
phylogenetic origin,biological,1
effect on larval settlement,ecological,1
invasion presence,biological,1
interspecific competition,biological,3
interaction,anthropogenic,2
bacterial enrichment,ecological,1
bacterial abundance,ecological,1
bacterial abundance reduction,ecological,1
commensalism,biological,2
distribution limitation,ecological,2
invasion and impact on species diversity,ecological,1
ecological change,ecological,1
impact on species richness,ecological,17
host-parasitoid interaction,ecological,1
competitive interaction after disturbance,ecological,1
distribution,anthropogenic,1
scavenging,ecological,1
nutrient transfer,ecological,1
invasion pathway,ecological,13
intra-regional spread,ecological,1
predation rate reduction,ecological,1
constant predation rate,ecological,2
genetic introgression,biological,5
historical anthropogenic translocation,anthropogenic,1
impact of invasion on diversity,ecological,1
impact of land use on alpha diversity,anthropogenic,1
impact of land use on LCBD,anthropogenic,1
relationship between invasion degree and nes/sim,ecological,1
relationship between SCBD and species occurrence,ecological,1
alteration of soil bacterial abundance and microbial activity,ecological,1
interaction affecting microbial communities,ecological,1
nutrient amendment effect,physical,1
ecosystem invasion,ecological,4
occupancy change,ecological,1
migration into region,ecological,1
migration out of region,ecological,1
habitat modification,ecological,19
dietary shift,biological,1
novel interaction,biological,2
leaf litter consumption,ecological,1
species replacement,ecological,16
impact on consumption rate,anthropogenic,1
density-dependent dispersal,ecological,1
adaptation,ecological,14
acclimation strategies,ecological,1
water source competition,ecological,2
temperature influence on feeding rate,ecological,1
thermal suitability,ecological,1
threat,ecological/anthropogenic,6
potential invasion risk,ecological,9
predictive factors,ecological,1
growth advantage,ecological,1
impact on invasions,ecological,2
population regulation,ecological,3
resistance to cold spells,ecological,1
recovery facilitation,ecological,2
niche segregation,ecological,3
distribution overlap,biological,1
effect on tick abundance,ecological,1
concentration beneath shrubs,ecological,1
predictor of tick abundance,ecological,1
effect on carbon dynamics,ecological,1
impact on health and survival,ecological,1
introduction effect,ecological,2
response to habitat characteristics,ecological,1
habitat compartmentalization,physical,1
nursing,ecological,1
plant-plant competition,ecological,2
effects on community disassembly,ecological,1
ecosystem engineering,ecological,12
biocontrol,biological,10
habitat expansion,ecological,7
geographic overlap,physical,1
invasive occurrence and abundance relationship,ecological,1
movement and translocation,anthropogenic,1
influence of thermal regime on species density,ecological,1
effect of hydrological connectivity on species richness,ecological,1
bottom-up effects,ecological,2
influence on activity,ecological,2
impact on ecosystem function,ecological,3
changes in trait composition,ecological,1
competition for nutrients,ecological,1
community structuring,ecological,3
refugia,ecological,1
invasion hotspots,ecological,3
trophic cascades,ecological,1
invader amplification hypothesis,ecological,1
distribution and environmental relationship,ecological,1
dominance and nutrient enrichment,ecological,1
harvesting and bioenergy potential,ecological,1
habitation,ecological,86
habitat occupation,ecological,18
invasion and impact,ecological,28
competition and degradation,ecological,1
trait-mediated foraging,ecological,1
impact on parasite prevalence,ecological,1
decrease in parasite prevalence,ecological,1
impact_on_assemblage,ecological,1
habitat preference,ecological,123
settlement pattern,ecological,2
habitat breadth,ecological,2
impact_of_invasive_species,ecological,1
impact assessment process,ecological,1
evidence of impact,ecological,1
impact on abundance,ecological,11
role as scavengers,ecological,1
minimal impact by invasion,ecological,1
dominance,ecological,43
habitat selection,ecological,14
habitat avoidance,ecological,6
trophic cascade,ecological,8
probability of invasion,ecological,1
invasion mechanisms,ecological,1
pioneer effect advantage,ecological,1
negative impact,ecological,61
ecological interaction,ecological,6
recolonization,ecological,5
impact on ecosystem dynamics,ecological,1
facilitation of secondary invasion,ecological,1
predation pressure change,biological,1
feedback cycle,ecological,1
cascading impacts of invasion,ecological,1
biocontrol,anthropogenic,1
impact on carbon pools,ecological,1
invasion and niche shift,ecological,1
influence on invasion success,ecological,2
plant-soil feedback,ecological,12
habitat decline,ecological,3
population decline,ecological,3
invasiveness-influence,ecological,1
origin-invasion,biological,1
invasive interaction,ecological,3
feeding relationship,ecological,7
synergistic suppression,ecological,1
competition and soil biota interactions,ecological,1
indirect plant-soil feedbacks,ecological,1
community assembly,ecological,2
species turnover,ecological,3
impact of UV-B,ecological,1
effects of earthworm on soil chemistry,ecological,1
impact of earthworms on native biodiversity,ecological,1
environmental gradient,physical,1
mutualism,ecological,16
experimental growth testing,ecological,1
invasive performance,ecological,1
competitive ability testing,ecological,1
suppression by native soils,ecological,1
lack of suppression by non-native soils,ecological,1
competition reduction,ecological,3
protection against herbivory,ecological,1
interaction preference,ecological,1
interaction avoidance,ecological,1
mutualism,biological,12
consumer-resource interactions,ecological,1
community reconfiguration,ecological,1
synergistic effect,ecological,1
distribution,ecological,179
progression,ecological,1
indirect effect,ecological,4
latitudinal pattern in plant-defense syndromes,ecological,1
dominance impact,ecological,2
sensory irritation,biological,1
impact on sediment dynamics,ecological,1
morphological and habitat impact,ecological,1
altered bio-geomorphic feedback,ecological,1
competition,biological,33
erosion induction,ecological,1
tolerance and adaptation,ecological,1
driver of extinction,ecological,2
association with drivers,ecological,1
ecological cascades,ecological,1
microcascade effects,ecological,1
cascade complexes,ecological,1
land use change promotes plant invasions,ecological,1
synergistic interaction causing fish kills,ecological,1
fish invasions mitigate pollution impact,ecological,1
feeding,biological,17
habitat_usage,ecological,5
diet,biological,1
species distribution and habitat characteristics,ecological,1
location-specific habitat study,ecological,1
association/interaction,ecological,1
antagonism,ecological,1
discharge and impact,ecological,1
adaptation to climatic regions,ecological,1
effect of dietary calcium source,biological,1
antagonistic effect,biological,2
impact_on_soil_properties,ecological,2
effect_on_biogeochemical_cycles,ecological,1
predation avoidance,ecological,2
habitat alteration,anthropogenic,2
threatening invasion,ecological,1
support for management,anthropogenic,1
genetic relatedness,biological,4
social tracking,ecological,1
dietary overlap,ecological,5
diet switch,ecological,1
population control,anthropogenic,3
correlated body condition,ecological,1
habitat suitability decline,ecological,1
occupancy patterns,ecological,1
threat relationship,ecological,4
invasion effect,ecological,2
impact on grazing,ecological/economic,1
resource use conflict,socio-ecological,1
mussel filter feeding,biological,1
productivity patterns,ecological,1
nutrient influence,ecological,1
invasive species relationship,ecological,1
bacterial community association,biological,1
food reduction,ecological,1
suffocation of embryos,biological/physical,1
Impact of invasion on ecosystem services,ecological,1
Impact on stakeholder priorities,social-ecological,1
invasion control and management,social-ecological,1
species range-shift impact,ecological,1
causation of range shift,anthropogenic,1
public opinion on management,anthropogenic,1
collaboration impact,ecological,1
stakeholder opinion and discourse,anthropogenic,1
invasion and management,ecological,6
threatening,ecological,7
current distribution,ecological,4
potential range expansion,ecological,5
risk assessment,ecological,7
impact on native biotas and ecosystem function,ecological,3
vector,biological,12
control strategy,anthropogenic,2
competitive dominance,ecological,3
pest-plant relationship,ecological,1
impact relationship,ecological,13
host-pest,ecological,2
resistance to pyrethroids,ecological,1
spread and risk of virus transmission,ecological,1
exposure to insecticides,anthropogenic,1
bait consumption,ecological,1
coexistence,ecological,23
resistance,biological,4
susceptibility,biological,2
detection and analysis,ecological,1
origin determination,ecological,1
distribution and biocontrol,ecological,1
reduction of colony productivity,biological,1
parasitic relationship,biological,11
predation and fear-induced stress,ecological,1
selective use,ecological,1
spatial distribution,ecological,4
trait similarity,biological,1
trait difference,biological,1
growth influence,ecological,1
growth suppression,ecological,2
impact of floating weed mats,ecological,1
habitat restoration effect,ecological,1
lateral hydrological connectivity,physical/ecological,1
increase in alien species richness and densities,ecological,1
predation and interference,biological,1
risk of invasion,ecological,4
biotic acceptance,ecological,1
engineer effects,ecological,1
habitat conditions contrast,ecological,1
feeding habits,ecological,2
synergistic effects,ecological,3
invasion and removal effects,ecological,1
density changes,ecological,1
habitat segregation,ecological,3
structuring influence,ecological,1
impact and recolonization,ecological,1
long-term threats,anthropogenic,1
bioaccumulation of inorganic elements,ecological,1
correlation in abundance,ecological,1
invasibility resistance,ecological,1
control of abundance,ecological,1
association with sediment and water variables,ecological,1
impact of human activity on distribution,anthropogenic,1
invasion and detection,ecological,1
dietary shift,ecological,1
habitat transformation,physical,2
influence on sediment dynamics,ecological,1
presence of invasive species,ecological,6
repellent effect,ecological,6
damage,ecological,12
control,anthropogenic,8
genetic resistance presence,biological,1
genetic resistance absence,biological,1
genic differentiation,biological,1
potential accidental transportation,ecological,1
potential effects,ecological,1
sympatry,ecological,5
impact on health and growth,ecological,1
reduction of biomass and soil seed bank,ecological,1
comparison of life-history traits,ecological,1
occurrence and spread,ecological,1
comparison,physical,2
management,ecological/anthropogenic,1
conservation status,ecological,1
impact on ecosystem services,ecological,7
abundance correlation,ecological,8
facilitation within habitat,ecological,1
species isolation,ecological,1
invasion and ecosystem service alteration,ecological,1
ecosystem-habitat association,ecological,1
impact on phytoplankton,ecological,1
mussels' effect on nutrient cycling,ecological,1
effect of storms on mussel growth and phytoplankton,physical,1
trophic subsidy,ecological,4
human-mediated colonization,anthropogenic,2
impact on detritivores,ecological,1
niche partitioning,ecological,4
dietary shifts,ecological,1
trophic interaction,ecological,18
trophic niche competition,ecological,3
potential impact through niche overlap,ecological,1
invasion dynamics,ecological,18
ecofunctional uniqueness patterns,ecological,1
predation and impact on community structure,ecological,1
predation pressure,ecological,8
phenotypic trait variation,biological,1
climatic gradient,physical,1
coastal-inland gradient,physical,1
trait differences,ecological,1
symbiosis,biological,25
co-invasion,ecological,4
local expansion,ecological,2
colony fusion,biological,1
nesting location,ecological,1
ecological co-dominance,ecological,1
subdominance,ecological,1
herbivory interaction,ecological,1
Chemical signature deposition,ecological,1
reproductive interaction,biological,1
habitat comparison,ecological,2
pathogen-infestation,biological,1
leptospirosis risk increase,ecological,1
carrier-host,biological,6
impact of salmon farming on birds,ecological,1
bird aggregation in salmon pens,ecological,1
predator-prey recognition,ecological,4
parasitism and predation,ecological,1
allelopathic interaction,biological,3
species detection,biological,2
methodology confirmation,biological,1
impact on ecosystems,ecological,6
preferred for studies,ecological,1
clams impact on ecosystem,ecological,1
cryptogenic presence,ecological,1
predatory competition,ecological,1
impact on oysters,ecological,1
colonisation,ecological,21
impact,physical,4
modulation,physical,1
habitat influence,ecological,11
recruitment success,ecological,1
invasive occurrence,biological,2
latitude and genetic structure correlation,ecological,1
temperature effect on planktonic larval durations,biological,1
genetic diversity,biological,5
competitive hierarchy,ecological,1
influence of variability and temperature on clearance rates,ecological,1
utilization,ecological,1
introduction and establishment,ecological,69
comparison,ecological,10
post-border dispersal,ecological,1
establishment and spreading,ecological,1
habitat location,ecological,7
density correlation,ecological,6
density variance impact,biological,1
predation vulnerability,ecological,1
transformation,ecological,2
impact on ecological services,ecological,1
algal-bacterial association,ecological,1
tolerance to hypoxia,ecological,2
role in mariculture and as invasive species,ecological/economic,1
recruitment,biological,1
host-parasite relationship,biological,19
trait selection,biological,2
comparison of stress responses,biological,1
expression levels,biological,1
detection,biological,5
spread and establishment,ecological,10
potential invasion,ecological,36
thermal tolerance retention,ecological,2
management impact,anthropogenic,4
connectivity,physical/ecological,1
recruitment,ecological,2
consumption and dispersal,ecological,1
residency and habitat use,ecological,1
genetic relationship,biological,4
substrate competition,ecological,1
ecological impact,ecological,35
species-habitat limitation,ecological,1
chemical antifouling defense,ecological,1
fouling pressure comparison,ecological,1
habitat alteration,ecological,9
origin of population,biological,1
larval dispersal path,biological,1
barrier to dispersal,physical,1
barrier to range expansion,physical,1
ametryn contamination,ecological,1
symbiotic significance,biological,1
nodulation,biological,6
transport,anthropogenic,8
species-habitat-preference,ecological,2
species-location-genetic-relation,biological,1
parasitization,biological,5
response to parasitization,biological,1
native species litter decomposition,ecological,1
impact on microbial activity,ecological,1
effect of water nitrogen,ecological,1
transfer,ecological,3
enhancement of invasion,ecological,1
interspecific competition,ecological,24
effect of colony genetic diversity,ecological,1
effect of colony size,ecological,1
male-male competition,biological,1
colony insularity and recognition,ecological,1
predator-prey relationship,ecological,18
calling behaviour interference,ecological,2
geographic divergence in dispersal-related behaviour,ecological,1
habitat behavior relationship,ecological,2
boldness in toads,ecological,2
control efforts,ecological,1
distribution relationship,ecological,5
suitability-abundance relationship,ecological,1
impact and perception,ecological/social/economic,1
competition for tree cavities,ecological,1
habitat_invasion,ecological,3
performance_influence,ecological,1
role in regeneration,ecological,1
Impact on carbon stocks and sequestration,ecological,1
Contribution to carbon sequestration,ecological,1
introduction and management,anthropogenic/ecological,1
location,physical,7
habitat increase,ecological,1
habitat persistence,ecological,1
impact on palatability,ecological,1
competitive exclusion,ecological,42
competition for habitat,ecological,1
Effect of irrigation on plant diversity,ecological,1
distribution impact,ecological,3
suppression of phytoplankton,ecological,1
population monitoring,ecological,1
population expansion,ecological,4
salience development,anthropogenic,1
control methods,anthropogenic,1
enhanced efficacy,physical,1
breeding,ecological,1
dietary,ecological,5
introduction and viability,ecological,1
human-mediated transportation,anthropogenic,1
range expansion,ecological/anthropogenic,1
predation impact,ecological,17
habitat,ecological,54
habitat invasion,ecological,22
morphological distinction,biological,1
pathway,anthropogenic,1
harborage,physical,1
current invasion,ecological,2
potential future invasion,ecological,1
community composition,ecological,3
discovery,ecological,1
species interaction and impact,ecological,1
presence,biological,22
infestation,biological,20
co-existence,ecological,6
colonization origin,ecological,1
introduction and expansion,ecological,5
microhabitat suitability,ecological,1
overgrowth,ecological,1
overgrowth and killing,ecological,1
dispersal potential,ecological,1
predation risk,ecological,7
environmental tolerance,ecological,1
range extension,ecological,8
reduced foraging performance,biological/physical,1
distribution_influence,ecological,2
harvest_correlation,ecological,1
comparison of physiological responses,biological,1
modification of soil phosphorus,ecological,1
enhance phosphorus turnover,ecological,1
enhances SOM dynamics,ecological,2
slows down SOM dynamics,ecological,2
herbivory influenced by soil organisms,ecological,1
herbivory preference,ecological,4
impact on microbial properties,ecological,1
minimal influence on microbial properties,ecological,1
increased fungal PLFA,ecological,1
Invasive plants affecting AMF communities,ecological,1
Invasive plants affecting native plant performance,ecological,1
impact on AMF communities,ecological,1
species-specific soil feedbacks,ecological,1
allelopathy,biological,15
ecosystem restructuring,ecological,1
parasitic,biological,13
parasite spillover,ecological,3
parasite infection,biological,5
original host-parasite,biological,1
origin association,biological,2
spillback process,ecological,1
host-parasite interaction,biological,12
detection,ecological,10
parasite-mediated competition,ecological,1
spill-over of alien mites,biological,1
niche modeling,ecological,1
infection level comparison,ecological,1
suboptimal breeding habitat,ecological,1
optimal breeding habitat,ecological,1
emigration induction,ecological,1
combined predation effects,ecological,1
predator effects on algae,ecological,1
colonization by opportunists,ecological,1
association preference,ecological,1
indirect interaction,ecological,6
enemy release,biological,2
growth comparison,ecological,5
gene introgression,ecological,1
support of invertebrates,ecological,1
microhabitat facilitation,ecological,1
comparison of respiratory properties,biological/ecological,1
photosynthetic capacity and phenology comparison,ecological,1
leaf phenology and invasion mechanism,ecological,1
invasion and ecological impact,ecological,4
removal of forest floor material,ecological,1
invasion and habitat alteration,ecological,3
ecological dominance,ecological,1
interspecific interaction,ecological,1
effect on foraging,ecological,1
modification of nutrient levels,ecological,1
impact correlation,ecological,1
competitive displacement,ecological,17
habitat constraint,ecological,3
competition and predation,ecological,12
recruitment consequences,ecological,1
differentiation along gradient,ecological,2
effects on life-history stages,ecological,1
aboveground-belowground interactions,ecological,1
species-abiotic interactions,ecological,1
herbivory and phylogenetic distance,ecological,1
resistance to invasion,ecological,3
performance difference,biological,1
leaf traits and decomposition,ecological,1
enemy interaction,ecological,1
disturbance impact,ecological,4
density impact,ecological,1
native distribution,ecological,9
introduced distribution,ecological,4
seed predation,ecological,16
habitat establishment,ecological,5
impact on insect assemblage,ecological,1
damage susceptibility,ecological,1
damage interaction,ecological,1
herbivore-host interaction,ecological,1
endozoochory,biological,1
food quality,ecological,1
competitive superiority,ecological,3
introductory histories or local adaptive responses,biological,1
invasion success,ecological,24
regeneration capacity,ecological,1
competition for pollination,ecological,1
impact of species on soil chemistry,ecological,1
impact on species composition,ecological,3
reduction of species cover,physical,1
resource use and invasion,ecological,1
enemy release hypothesis (ERH),ecological,1
species-time relationship (STR),ecological,1
comparison for evaluating ERH,ecological,1
distribution,biological,14
new associations,ecological,1
trophic relationship,ecological,4
PP-invasibility relationship,ecological,1
origin,ecological,33
foraging response,ecological,1
competitive naïveté,ecological,1
effect on parasitism,ecological,1
trophic coupling,ecological,1
burrowing behavior,ecological,1
physiological synchronization,ecological,1
habitat structure,ecological,1
invasion-film,ecological,1
ecosystem modification,ecological,1
ecological impacts,ecological,2
unintended detrimental consequences,ecological,1
by-product mutualism,ecological,1
neighbor effects,ecological,1
herbivory influence on dominance,ecological,1
impact of herbivory,biological,1
resource-exploitation,ecological,1
invasion facilitation,ecological,8
resource alteration,ecological,1
morphological adaptation,ecological,2
damage and species richness comparison,ecological,1
host range expansion,ecological,1
feeding susceptibility,ecological,1
leaf-litter processing rates,ecological,1
thermal preference and shredding rate,ecological,1
herbivore-mediated interaction,ecological,1
herbivore-induced hormone change,ecological,1
enemy pressure,ecological,3
invasion promotion,ecological,3
biomass increase,ecological,3
enhanced biomass relative to competitors,ecological,1
influence on seed production,ecological,1
clearing of turf algae,ecological,1
resistance to turf proliferation,ecological,1
weak resistance to turf proliferation,ecological,1
grazing leads to kelp decline,ecological,1
competition and inhibition,ecological,1
herbivory relationship,ecological,2
competitive and facilitative interactions,ecological,1
resource-use efficiency,ecological,1
combined effects,ecological,2
native grasses,ecological,1
invasive grasses,ecological,1
response to water availability,ecological,1
homeostasis and growth correlation,biological,1
accumulation relationship,biological,1
soil effect,ecological,1
community comparison,biological,1
impact of plant invasion on soil fungi,biological,1
interaction of plant invasion with abiotic factors,ecological,1
disruption of mutualism,ecological,1
indirect biotic resistance,ecological,1
ant-weevil interaction,ecological,1
seed trait variation,ecological/anthropogenic,1
drought tolerance comparison,ecological,1
vegetation modification,ecological,1
impact on beetle growth,ecological,2
competition and replacement,ecological,4
fire promotion,ecological,2
conversion due to invasion,ecological,1
parasitism,ecological,22
photosynthetic response to elevated CO2,biological,1
invasive species establishment,ecological,1
native species photosynthesis,ecological,1
nitrogen uptake capacity,ecological,1
mixed stands nitrogen retention,ecological,1
species displacement,ecological,4
high pollen abundance,ecological,1
pollen transport,ecological,2
negative association,ecological,10
long-distance transport,ecological,1
invasion_impact,ecological,5
displacement,ecological,45
mycorrhizal symbiosis,biological,4
modification of microbial functions,ecological,1
mycorrhizal dependency,ecological,2
growth response,ecological,16
introduction pathway,ecological,9
genetic variation,biological,1
hybridization event,biological,1
invasiveness,ecological,9
pollination interaction,ecological,4
chromosome numbers comparison,biological,1
chromosome and polyploid frequency comparison,biological,1
polyploid frequency comparison,biological,1
species composition change,ecological,1
impact on nutrient cycling,ecological,4
comparison of effects,ecological,1
impact_on_microbial_distribution,ecological,1
"alterations in species abundance, diversity, and trophic links",ecological,1
isolation impacts on trophic interactions,ecological,1
competition for nitrogen and nutrients,ecological,1
invasion and persistence,ecological,2
