Species Name,Role,Count
conchoderma auritum,introduced,1
balanomorph barnacles,introduced,1
oncorhynchus mykiss,exotic,3
podiceps gallardoi,endemic,1
daphnia spp.,-,4
boeckella spp.,-,1
parabroteas sarsi,-,1
gambusia holbrooki,invasive,34
amphibians,native,9
invertebrates,native,11
caulerpa cylindracea,non-indigenous,2
invasive fish,invasive,7
native fish,native,19
eurasian perch,invasive,1
perca fluviatilis,invasive,2
brown bullhead,invasive,2
ameiurus nebulosus,invasive,3
gastropods,native,5
crayfish,native,2
mussels,native,7
alien invasive species,invasive,2
actinopterygian fishes,-,1
marine fishes,native,1
freshwater fishes,native,3
diadromous species,native,1
graptemys pseudogeographica,introduced,1
trachemys scripta,introduced,2
pseudemys nelsoni,introduced,1
freshwater fishes,invasive,2
native species,native,170
threatened species,native,3
sinanodonta woodiana,invasive,11
anodonta anatina,native,10
squalius cephalus,-,1
non-native marine species,non-native,4
chinese mitten crabs,invasive,1
european eel,endangered,1
other fish,-,1
red swamp crayfish,invasive,9
pomacea maculata,invasive,10
plegadis falcinellus,native,1
oryza sativa,-,1
freshwater coleopterans,-,1
percnon gibbesi,invasive,5
carp,invasive,2
river snail,native,1
macrophytes,-,3
macroinvertebrates,-,7
marine invasive alien species,invasive,4
363 alien species,alien,1
267 ranked species,alien,1
26 prioritized species,alien,1
cyprinids,native,3
neogobius melanostomus,invasive,59
chondrostoma nasus,native,1
boana cordobae,native,1
odontophrynus achalensis,native,1
brook trout,alien,1
rainbow trout,alien,2
invaders,invasive,2
upper level predators,native/introduced,1
lower level members of the food web,-,1
freshwater fish,native/introduced,2
exotic fish,introduced,1
galaxiidae,native,2
salmonids,introduced,7
pacifastacus leniusculus,introduced,8
plecoptera,-,1
chironomidae,-,3
diptera,-,8
hirudinea,-,2
tricladida,-,1
hydracarina,-,1
fallopia japonica,invasive,33
heracleum mantegazzianum,invasive,17
impatiens glandulifera,invasive,53
solidago gigantea,invasive,30
sargassum muticum,invasive,36
fucalean species,native,1
eucalyptus,native,8
ageratina adenophora,invasive,13
invertebrate communities,-,1
beetle species,native,1
mollusc,invasive,1
triadica sebifera,invasive,9
schizachyrium scoparium,native,3
fox,invasive,3
australian turtle,native,1
stoats (*mustela erminea*),invasive,1
bursaphelenchus xylophilus,invasive,13
pinus spp.,native,4
native tree species,native,7
exotic herbaceous weeds,exotic,1
epiphytes,native,2
alien/native range-expanding fishes,alien,1
invasive herbivores,invasive,2
reef fishes,native,3
undaria pinnatifida,nonnative,1
seaweeds,native,1
urchins,-,1
exotic annual grasses,invasive,5
biocrust communities,native,1
short mosses,native,1
native perennial grasses,native,7
scolytinae,invasive,1
bark beetles,invasive,1
ambrosia beetles,invasive,1
seed and twig feeders,invasive,1
dreissenids,invasive,1
bythotrephes,invasive,1
lake trout (salvelinus namaycush),native,2
lake whitefish (coregonus clupeaformis),native,1
cisco (c. artedi),native,1
typha × glauca,invasive,3
phragmites australis,invasive,37
antigonon leptopus,invasive,5
seed-dispersing plant species,invasive,1
clonally expanding plant species,invasive,1
asian papaya fruit fly (pff),invasive,1
insects,alien,11
spathodea campanulata,invasive,8
pseudocercospora fijiensis,invasive,1
protist,native/introduced/alien/invasive,1
rotifer,native/introduced/alien/invasive,1
hog deer,invasive,1
fallow deer,invasive,2
red deer,invasive,2
rusa deer,invasive,1
sambar deer,invasive,1
chital deer,invasive,1
exotic species,introduced,43
invasive species,invasive,122
kelp forests,native,1
maerl,native,1
seagrasses,native,1
megastigmus schimitscheki,invasive,2
cedrus,native/obligate host,1
sciurus vulgaris,native,17
sciurus carolinensis,invasive,16
squirrelpox virus (sqpv),introduced,1
british flora,native,1
alien flora,alien,2
callitris intratropica,native,1
andropogon gayanus,invasive,5
native grasses,native,9
p. australis ssp. americanus,native,1
coregonus albula,native,2
coregonus sardinella,native,1
wild plants,native,1
noninvasive plant species,native,1
hypogastrura manubrialis,invasive,1
collembola,native,4
galenia africana,native,1
ants,invasive,3
linepithema humile,invasive,29
lasius neglectus,invasive,13
wasmannia auropunctata,invasive,21
pheidole megacephala,invasive,18
sabellaria alveolata,-,1
centaurea diffusa,invasive,2
invasive plant species,alien,1
fungal pathogens,native,1
goby,invasive,2
brown trout,invasive,5
rainbow trout,invasive,4
riparian spiders,native,1
barbus barbus,indigenous/invasive,1
merremia peltata,native/introduced/invasive,1
caulerpa cylindracea,invasive,39
cystoseira crinita,native,1
cystoseira barbata,native,1
cystoseira compressa,native,2
yellow-legged asian hornet,invasive,1
drosophila subobscura,introduced,2
puccinia striiformis,invasive,1
psts1,invasive,1
psts2,invasive,1
feral cats,invasive,9
invader,invasive,6
bivalves,prey,1
gastropods,prey,1
non-native predators,introduced,1
native predators,native,3
raccoon dog,alien,5
acer negundo,invasive,23
prunus serotina,invasive,22
quercus rubra,invasive,4
robinia pseudoacacia,invasive,38
melampsora larici-populina,invasive,1
introduced species,introduced,33
ponto-caspian species,non-native,1
nonindigenous species (nis),introduced,5
gambusia affinis,invasive,12
mosquito fish,invasive,1
frogs and toads,nonnative,1
arabidopsis thaliana,introduced,1
vascular plant species,native/introduced/alien/invasive,1
endemic species,-,1
non-native species,non-native,29
canary endemic species,native,1
canary-madeira endemics,native,1
ciona robusta,introduced,2
ciona intestinalis,native,4
termite species,invasive,1
aquatic alien plants,alien,1
aquatic native plants,native,1
alder,native,1
birch,native,1
spruce,native,1
lodgepole pine,introduced,1
gasterosteus aculeatus,native,7
microbes,native,1
bacteria,native,2
carassius carassius,introduced,1
amphibians,alien,8
limnomysis benedeni,invasive,2
tephritidae fruit flies,introduced,1
bactrocera zonata,invasive,2
ceratitis quilicii,native,1
ceratitis capitata,native,2
freshwater fish,native,7
temperate species,introduced,1
gracilaria vermiculophylla,introduced,5
crassostrea gigas,native,5
xenopus laevis,native/introduced/alien/invasive,2
hydrilla verticillata,invasive,11
gammarus tigrinus,invasive,8
pontogammarus maeoticus,invasive,2
obesogammarus crassus,invasive,1
gammarus locusta,native,2
gammarus salinus,native,1
gammarus zaddachi,native,3
gammarus oceanicus,native,2
rhinella marina,invasive,68
australian native frogs,native,1
cervus elaphus,non-native,1
mediterranean fruit fly (medfly),alien,1
tuta absoluta,invasive,26
stenomesius japonicus,native,1
macrolophus pygmaeus,native,3
stramonita haemastoma,native/cryptic invasion,1
undaria pinnatifida,invasive,30
aedes albopictus,native/introduced/alien/invasive,1
corbicula fluminea,invasive,47
poa annua,invasive,11
fallopia × bohemica,invasive,8
fallopia sachalinensis,invasive,13
fallopia spp.,invasive,8
invasive alien species,invasive,64
cirsium arvense,invasive,9
cervus nippon nippon,introduced,2
cervus canadensis,introduced,2
cervus elaphus,native,3
alien amphipods,alien,1
alien isopods,alien,1
alien gastropods,alien,2
alien bivalves,alien,1
indigenous amphipods,native,1
indigenous isopods,native,1
indigenous gastropods,native,1
indigenous bivalves,native,1
ludwigia grandiflora,invasive,10
phragmites australis,native/invasive,6
avian communities,native,1
avian communities,exotic,1
invasive alien plants (iap),invasive,1
georgian endemic plant species,native,1
potamopyrgus antipodarum,invasive,20
chinook salmon (oncorhynchus tshawytscha),non-native,2
spartina densiflora,invasive,15
centaurea solstitialis,invasive,22
centaurea calcitrapa,exotic,1
centaurea sulphurea,exotic,1
plants,invasive,12
invertebrates,invasive,8
vertebrates,invasive,6
pathogens,invasive,5
pycnonotus cafer,invasive,1
miconia calvescens,introduced,2
lantana camara,introduced,4
schinus terebinthifolius,introduced/invasive,1
myrtastrum rufopunctatum,endemic,1
passiflora suberosa,-,1
ficus prolixa,-,1
solidago canadensis,invasive,39
vespa velutina,invasive,25
aphanomyces astaci,-,5
cryphonectria hypovirus 1,introduced/invasive,1
cryphonectria parasitica,introduced/invasive,1
harmonia axyridis,native/introduced/alien/invasive,1
great cormorant,native,1
gastropods,alien,1
acacia acuminata,native,1
acacia microbotrya,native,1
eucalyptus loxophleba subsp. loxophleba,native,1
eucalyptus astringens,native,1
calothamnus quadrifidus,native,1
callistemon phoeniceus,native,1
hakea lissocarpha,native,1
hakea prostrata,native,1
bromus diandrus,invasive,1
acyrthosiphon pisum,native,1
megoura viciae,native,2
pied flycatcher,native,1
collared flycatcher,native,1
haemosporidian (avian malaria),parasite,1
bombus hypnorum,range-expanding,1
bombus spp.,-,2
robinia pseudoacacia l.,invasive,1
harmonia axyridis,invasive,73
serratia,-,1
lactococcus,-,1
enterococcus,-,1
staphylococcus,-,1
pterois volitans,invasive,31
silene latifolia,native/introduced/alien/invasive,1
astacus leptodactylus,invasive,1
fremont's squirrel,native,1
mount graham red squirrel (mgrs),native,1
abert's squirrel,introduced,1
helicoverpa armigera,invasive,5
helicoverpa zea,native,1
anthriscus sylvestris,native,1
lupinus polyphyllus,invader,2
aethina tumida,invasive,7
megachile rotundata,native,1
brassica tournefortii,invasive,2
-,native/introduced/alien/invasive,1
ruderal plant species,native/introduced,1
ruderal plant species,non-native,1
donax deltoides,native,1
datura stramonium,native/non-native,1
aedes albopictus,invasive,62
xylosandrus morigerus,invasive,1
arctotheca populifolia,introduced,2
beach daisies,introduced,1
herbivores,native,3
dreissena,invasive,1
insect herbivores,-,1
white‐tailed deer,-,1
phymata americana,native,1
phymata pennsylvanica,native,1
lupinus polyphyllus,introduced,2
salmonids,invasive,4
batillaria attramentaria,native,1
bidens frondosa,invasive,3
bidens pilosa,noninvasive alien,1
bidens bipinnata,native,1
crassostrea gigas,invasive,28
alien plant species,alien,63
naturalized alien species,naturalized,1
non-naturalized alien species,non-naturalized,1
ungulates,introduced,3
cydalima perspectalis,invasive,7
ischnura elegans,native,3
spinycheek crayfish,invasive,2
perch,native,2
exotic plant species in the asteraceae,exotic,1
asteraceae,alien,5
phalaris arundinacea,invasive,8
ostrinia nubilalis,invasive,2
plants,introduced/native,1
eurasian watermilfoil,invasive,3
native bivalves,native,1
davidia involucrata,native,1
mikania micrantha,invasive,14
petrorhagia nanteuilii,introduced,1
plant individuals,introduced,1
parrots,alien,2
songbirds,alien,1
waxbills,alien,1
gamebirds,alien,1
finches,alien,1
starlings,alien,1
leafbirds,alien,1
hemidactylus mabouia,invasive,3
phyllodactylus martini,native,1
telfair's skink,native,2
pheidole megacephala,introduced,3
latania loddigesii,endemic,1
bemisia tabaci b mitotype,invasive,1
saccostrea glomerata,native,5
bivalve,-,1
invertebrate larvae,-,1
fruit flies,invasive,2
tephritidae,invasive,3
polyphagous tephritid,invasive,1
24 tephritid species,invasive,1
spartina alterniflora,invasive,45
zostera japonica,native,2
bacteroidia,-,2
acidimicrobiaceae,-,1
dehalococcoidaceae,-,1
ankylocythere sinuosa,exotic,1
uncinocythere occidentalis,exotic,1
procambarus clarkii,exotic,2
pacifastacus leniusculus,exotic,1
sasa kurilensis,invasive,1
pinus pumila,native,1
native parasitoids,native,3
invasive host,invasive,2
technoymex brunneus,invasive,1
exotic ants,exotic,1
native ants,native,9
lymantria dispar,invasive,8
cyprinus carpio,invasive,17
chrysanthemoides monilifera ssp. rotundata,invasive,3
fucus sp.,-,1
thymallus thymallus,native/introduced,1
fish,-,9
invasive nitrogen-fixing plant,invasive,1
insects,-,4
invasive plants,invasive,71
forbs,invasive,2
grasses,invasive,2
shrubs,invasive,1
nitrogen-fixing legumes,invasive,1
anuran larvae,native,1
aeshna sp.,native,2
shorebirds,-,1
warmer-breeding species,native,1
colder-breeding species,native,1
kāhili ginger,invasive,1
pagiopalus spp.,native,1
non-native arthropods,non-native,1
hymenoptera parasites,non-native,1
entomopathogenic fungi,non-native,1
phragmites australis,native/introduced,3
hyalopterus pruni,-,1
spodoptera frugiperda,-,1
amphipods,-,13
nonnative amphipod species,nonnative,1
native shredders,native,1
conyza canadensis,cosmopolitan weed,1
poecilia reticulata,introduced,9
elaeagnus angustifolia,introduced,2
juniperus virginiana,native,1
populus deltoides,native,3
100 among the world's worst invasive alien species,invasive,1
s. decurrens,native,1
mayan cichlid,nonnative,1
native fishes,native,9
polychaete,invasive,1
native gammarids,native,1
rosa multiflora,invasive,6
ixodes scapularis,-,1
mojave desert tortoise,native,1
mediterranean grasses,invasive,1
festuca octoflora,native,1
bromus rubens,invasive,2
freshwater fish,non-native,4
nonnative fish,nonnative/introduced,1
acacia caven,pioneer,1
sclerophyllous trees,endemic,1
lithraea caustica,possible nurse,1
spartina (hybrid cordgrass),invasive,1
ambrosia artemisiifolia,invasive,59
na biocontrol candidates,introduced,1
sus scrofa,invasive,21
macroinvertebrates,native/introduced,3
trichilogaster acaciaelongifoliae,biocontrol agent,1
acacia longifolia,invasive,25
amphipods,native+non-native,1
zooplankton,native,6
amphibian species,native,1
phytoplankton,native,7
periphyton,native,4
freshwater snail,native,1
cenchrus ciliaris,invasive,9
invasive cattail,invasive,1
common reed,invasive,1
reed canary grass,invasive,2
marbled crayfish,alien/invasive,1
spiny-cheek crayfish,alien/invasive,1
ludwigia spp.,invasive,3
larus argentatus,-,1
ciona intestinalis,invasive,13
buffelgrass (cenchrus ciliaris l. syn pennisetum ciliare (l.) link),invasive,1
saguaro cacti (carnegiea gigantea (engelm.) britton & rose),native,1
indo-pacific lionfish,invasive,3
coral-reef fishes,native,1
bombus pascuorum,native,2
apicystis bombi,native,1
crithidia bombi,native,1
nosema bombi,native,2
nosema ceranae,native,1
nosema sp.,native,1
apis mellifera,native,17
laminaria digitata,native,4
saccharina latissima,native,6
saccorhiza polyschides,native,4
prosopis juliflora,invasive,23
lantana camara,invasive,63
ammodramus savannarum ammolegus,native,1
peucaea botterii arizonae,native,1
eragrostis lehmanniana,alien,1
eragrostis curvula,alien,1
insect species (specific subset),alien,1
iris pseudacorus,invasive,1
varanus spp.,native,1
varanus panoptes,native,5
varanus varius,native,2
willow,-,2
conifer,-,1
deciduous,-,1
fir,-,1
pine,-,1
cedar,-,1
cottonwood,-,1
alder,-,1
sagebrush,-,1
burmese python,invasive,5
palaemon elegans,invasive,2
rhithropanopeus harrisii,invasive,7
fucus radicans,native,1
invasive grasses,invasive,5
native plants,native,64
bennett's wallabies (notamacropus rufogriseus),invasive,1
mammalian herbivores,invasive,1
halyomorpha halys,invasive,36
trissolcus japonicus,-,1
rangia cuneata,invasive,2
larus argentatus,native,2
lutra lutra,native,9
solenopsis invicta,invasive,18
alien woody species,alien,2
native woody species,native,3
land snails,non-native,2
yellow crazy ant,non-native,1
red land crab,native,1
pinus contorta,invasive,11
gall-wasp,introduced,1
galler insects,native,1
parasitoids,native,5
inquilines,native,1
freshwater bacteria,native/introduced/alien/invasive,1
quercus suber,native,3
phytophthora cinnamomi,invasive,1
-,non-declining coexisting species,1
monitor lizards,native,1
smaller lizards,native,2
snakes,native,2
turtles,native,2
crocodiles,native,2
birds,native,16
phragmites australis,native,24
posidonia oceanica,native,13
danaus plexippus,native,2
asclepias curassavica,nonnative,1
asclepias incarnata,native,1
rattus losea,native,2
spartina alterniflora,invader,1
cordgrass,alien,1
exotic annuals,invasive,2
perennials,native,1
native plant cover,native,1
spartina alterniflora,native,4
alien plants,alien,50
archaeophytes,alien,13
neophytes,alien,20
vascular plants,alien,11
herbaceous plants,introduced,3
german origin plants,native,1
new zealand origin plants,introduced,1
invasive snail,invasive,1
native snail,native,1
european rabbit,invasive,6
oryctolagus cuniculus,invasive,13
earthworms,invasive,15
petrolisthes elongatus,invasive,3
galeolaria caespitosa,native,3
pinus,invasive,8
ectomycorrhizal fungi,mutualistic partner,1
callithrix sp.,alien,1
myocastor coypus,alien,1
nasua nasua,alien,1
bos sp.,alien,1
sus scrofa,alien,1
canis familiaris,alien,1
syncerus caffer,alien,1
cervus timorensis,alien,1
cervus unicolor,alien,1
canis latrans,alien,1
callithrix aurita,alien,1
callithrix flaviceps,alien,1
callithrix geoffroyi,alien,1
callithrix jacchus,alien,1
callithrix kuhlii,alien,1
callithrix penicillata,alien,1
noninvasive centaurea species,non-invasive,1
acacia drepanolobium,-,1
tetraponera penzigi,native,1
crematogaster spp.,native,1
loxodonta africana,-,1
exotic species,exotic,18
pinus species,invasive,3
gastropods,-,5
urchin,-,1
warm-affinity range-expanding species,introduced,1
cold-affinity species,native,1
sarpa salpa,native,4
mammals,alien,13
rodentia,introduced,2
cetartiodactyla,introduced,1
carnivora,introduced,3
diprotodontia,introduced,1
primates,introduced,1
balanus glandula,native/introduced,1
alternanthera philoxeroides,invasive,20
african subspecies of the honey bee,invasive,1
native bees,native,6
hypostomus robinii,invasive,1
scirpus mariqueter,native,9
myocastor coypus,invasive,7
non‐indigenous species,introduced,1
vertebrate animals,introduced,1
aquatic plants,invasive,5
fish,native/introduced,2
hyalella sp.,-,2
polylepis sp.,native,1
eucalyptus globulus,introduced,5
chlamydoteca incisa,non-native,1
ostracods,-,2
ostracod,-,1
cypria lacustris,native,1
lemna minuta,exotic/invasive,1
lemna minuta,alien/invasive,2
lemna minor,native,6
scrophularia canina subsp. bicolor,native,1
cistus salviifolius,native,2
teucrium flavum subsp. glaucum,native,1
invasive aquatic species,invasive,3
cornu aspersum,invasive,4
xenopus laevis,introduced,2
fusarium oxysporum f. sp. radicis-lycopersici,introduced,1
bacillus subtilis,native,1
bacillus cereus,native,1
bacillus amyloliquefaciens,native,1
bacillus licheniformis,native,1
bacillus thuringiensis,native,1
bacillus megaterium,native,1
bacillus pumilus,native,1
acinetobacter,native,1
litoria aurea,native,3
gambusia holbrooki,introduced,6
non‐native animals,introduced,1
american bullfrog (lithobates catesbeianus),invasive,3
sprague’s pipit,native,1
baird’s sparrow,native,1
bobolinks,native,1
le conte’s sparrow,native,1
savannah sparrow,native,1
western meadowlark,native,1
dromedary camels (camelus dromedarius),invasive,1
dice snake,introduced,1
viperine snake,native,1
bullhead,native,4
freshwater blenny,introduced,1
raptors,-,1
native shrubs,native,6
endemic plants and wildlife,native,1
euryops floribundus,indigenous,1
quagga mussels,invasive,6
phytoplankton,-,4
caulerpa taxifolia,invasive,34
planctomyces,-,1
dreissenid mussels,invasive,11
non-indigenous species,introduced,31
sander vitreus,-,1
catostomus commersonii,invasive,1
lake trout,invasive,3
invasive conifers,invasive,1
birds,range-shifting,1
insects,range-shifting,1
common wall lizards (podarcis muralis),introduced,1
vulpes vulpes,invasive,10
felis catus,invasive,14
mammalian pests,invasive,1
parthenium hysterophorus,invasive,16
bemisia tabaci,invasive,11
rattus rattus,invasive,36
carpobrotus aff. acinaciformis,invasive,1
carpobrotus edulis,invasive,14
aedes aegypti,invasive,23
aedes japonicus japonicus,invasive,10
aedes koreicus,invasive,21
aedes atropalpus,invasive,2
rattus everetti,native,1
rattus tanezumi,invasive,4
common myna,introduced,2
neoleucinodes elegantalis,invasive,2
solanum lycopersicum,native,2
rhagoletis completa,invasive,2
juglans regia,native,1
tecia solanivora,invasive,3
anoplolepis gracilipes,invasive,15
fall armyworm (faw),invasive,1
io (indian ocean),native,1
meam1 (middle east asia minor 1),invasive,1
brown marmorated stink bug,invasive,1
new zealand green vegetable bug,native,1
pereskia aculeata,introduced,1
catorhintha schaffneri,native,1
anoploepis gracilipes,invasive,1
yellow crazy ant,invasive,2
spodoptera eridania,alien,1
co-evolved parasitoids,biological control agents,1
tetranychus ludeni,invasive,1
phytoseiulus persimilis,native,1
crepidula fornicata,invasive,17
abramis brama,native,2
anguilla anguilla,native,8
ameiurus melas,non-native,3
gambusia holbrooki,non-native,3
lepomis gibbosus,non-native,8
extant exotic species,exotic,1
extant native species,native,1
extinct native species,native,1
cyperus gymnocaulos,native,1
triglochin procerum,native,1
typha domingensis,invasive,1
eichhornia crassipes,alien,2
urochloa mutica,alien,1
alien fish species,alien,1
aquatic macroinvertebrates,-,4
clarias gariepinus,invasive,8
minnows,native,2
exotic plant species,invasive,12
native plant species,native,84
woody engineer plant species,native,1
procambarus clarkii,non-native,1
insects,native,6
galaxias platei,native,1
salmonids,non-native,4
gibel carp,invasive,1
carassius gibelio,invasive,10
pikeperch,invasive,1
sander lucioperca,invasive,5
macrophyte invasive alien species,invasive,1
elodea canadensis,non-native,3
tarebia granifera,invasive,7
craspedacusta sowerbii,invasive,6
macroinvertebrate,invasive,1
crayfish,invasive,10
euphorbia virgata,invasive,1
panthera leo,non-native,1
panthera tigris sumatrae,non-native,1
canis lupus dingo,native,3
macropus giganteus,native,1
macropus rufogriseus,native,2
culex pipiens l.,native,1
fundulus heteroclitus,introduced,2
gambusia holbrooki,-,2
gobius niger,-,2
mugilids,-,1
anguilla anguilla,-,3
blennius sp.,-,1
lebias ibera,-,1
pomatoschistus sp.,-,1
dicentrarchus labrax,-,1
orbea variegata,invasive,1
atriplex vesicaria,native,2
annual plants,native,1
barbus graellsii,alien,1
barbus barbus,alien,1
pseudorasbora parva,alien,1
leuciscus cephalus,alien,1
chondrostoma genei,introduced,1
padogobius bonelli,introduced,1
leuciscus lucumonis,native,2
telestes muticellus,native,3
rutilus rubilio,native,3
padogobius nigricans,native,1
acipenser naccari,native,1
salmo marmoratus,native,1
knipowitschia punctatissima,native,1
salmo carpio,native,1
scardinius scardafa,native,1
gobio benacensis,native,1
petromyzon murinus,native,1
lampetra fluviatilis,native,1
acipenser sturio,native,1
huso huso,native,1
macroinvertebrates,alien,1
fish,non-native,4
foliage feeding invasive insects,invasive,1
defoliators,invasive,1
gall makers,invasive,1
non-native tree species,non-native,4
marine pest species,invasive,1
plants,alien,19
invasive alien plants,invasive,33
alien plants,invasive,9
tephritid fruit flies,invasive,2
ceratitis capitata,invasive,10
galaxias occidentalis,native,1
bostockia porosa,native,1
edelia vittata,native,1
perca fluviatilis,introduced,1
dreissena polymorpha,introduced,6
musculista senhousia,invasive,2
small gastropod,-,1
tube-building polychaetes,-,1
native invertebrates,native,3
cryptic species,native,1
opportunists,native,1
long-distance migratory bird species,native,1
large ungulates,native,1
fish species,native,5
exotic species,invasive,17
hybrid cattail (typha × glauca),invasive,1
barbus barbus,native,4
macro-invertebrates,-,1
pelletized fish-meal,introduced,1
eucalyptus globulus,exotic,4
diamphipnosis samali,native,1
calamoceras marsupus,native,1
trichocorixa verticalis verticalis,invasive,1
sigara lateralis,native,4
sigara scripta,native,2
chub,native,1
mugil cephalus,native,4
exotic freshwater fish,exotic,2
brook trout (salvelinus fontinalis),introduced,1
zooplankton,-,3
cladocerans,-,3
copepods,-,6
rotifers,-,3
limnoperna fortunei,invasive,35
non-native plant species,non-native,21
cold-adapted species,non-native,1
cardiocondyla obscurior,invasive,3
cardiocondyla,invasive,1
argentine ant,invasive,8
red imported fire ant,invasive,4
polistes dominulus,invasive,1
wolbachia,-,4
bombus terrestris,introduced,12
kuzinia laevis,introduced,1
reticulitermes flavipes,introduced,3
rhytidoponera violacea,native,1
rhytidoponera inornata,native,1
melophorus turneri perthensis,native,1
solenopsis richteri,native,1
linepithema humile,native,3
wasmannia auropunctata,native,1
brachymyrmex patagonicus,native,1
nylanderia fulva,native,1
general ground-dwelling ants,native,1
medicago arborea,invasive,1
lactuca sativa,-,3
lepidium sativum,-,3
linum strictum,native,1
trichoplusia ni,native,2
conium maculatum,introduced,1
verbascum thapsus l. (common mullein),introduced,1
generalist insect herbivores (predominantly grasshoppers and caterpillars),-,1
vespa velutina nigrithorax,invasive,13
salvelinus fontinalis,non-native,5
salmo trutta,native,8
tiger trout,hybrid,1
gammarus roeseli,introduced,3
cottus gobio,native,5
elymus athericus,invasive,4
arctosa fulvolineata,endangered,1
ulex europaeus,invasive,14
exapion ulicis,native,1
uromyces genistae-tinctoriae,native,1
rattus rattus,introduced,12
rattus norvegicus,native,1
rattus exulans,native,1
mus domesticus,native,1
leptospira,native,1
salmon,introduced,2
gulls,native,2
vultures,native,1
cormorants,native,1
caledoniscincus austrocaledonicus,native,2
bavayia septuiclavis,native,2
rodents,introduced,2
feral cat,introduced,5
ants,introduced,4
sambucus ebulus,native,1
fallopia x bohemica,invasive,8
dreissena bugensis,invasive,10
american red crab (prokambarus clarkii),invasive,1
asian clam (corbicula fluminea),invasive,2
pumpkinseed fish (lepomis gibbosus),invasive,1
petxinot clam (anodonta cygnea),native,1
tapes philippinarum,invasive,1
cryptogenic species,cryptogenic,4
asterias amurensis,introduced,4
carcinus maenas,introduced,3
fulvia tenuicostata,native,1
katelysia rhytiphora,native,1
ocinebrellus inornatus,introduced,1
ocenebra erinacea,native,3
elminius modestus,exotic,1
mytilus galloprovincialis,invasive,14
perna perna,native,8
nonindigenous species,introduced,4
eriocheir sinensis,native,1
membranipora membranacea,introduced,4
non-native benthic species,introduced,1
styela plicata,invasive,3
gammarus tigrinus,non-indigenous,1
gammarus zaddachi,indigenous,2
ensis directus,introduced,2
ensis terranovensis,native,1
sessile hydrozoans,-,1
medusa-less taxa,-,1
"small, short-living species with typical opportunistic characteristics",native,1
cosmopolitan large-size taxa,native,1
non-indigenous species,non-indigenous,4
microcosmus squamiger,introduced,3
caulerpa racemosa,invasive,13
diplodus sargus,native,8
oculina patagonica,alien,3
resident macroalgal assemblages,native,1
lionfish,invasive,9
grouper,native,1
prey fish,native,1
