Publisher,Total Count
Swinburne Commons,1
the American Physiological Society,1
'Journal of Mosaic Research',1
Wolfram Demonstration Project,1
Wiley Liss,1
'American Medical Association (AMA)',1
"Hospital das Clínicas, Faculdade de Medicina, Universidade de São Paulo",1
'Baishideng Publishing Group Inc.',1
LVHN Scholarly Works,1
American College of Cardiology. Published by Elsevier Inc.,1
Tehran University of Medical Sciences,1
American College of Cardiology Foundation. Published by Elsevier Inc.,1
'American College of Chest Physicians',1
PT Kalbe Farma Tbk.,1
'Universitat Politecnica de Valencia',1
"НТУ """"ХПІ""""",1
VERLAG HANS HUBER,1
Digital Commons @ RIC,1
三重大学人文学部文化学科,1
Lowy Institute for International Policy,1
Elsevier Inc.,1
'Harvard University Botany Libraries',1
Malmö universitet/Kultur och samhälle,1
"Defence Scientific Information & Documentation Centre (DESIDOC), DRDO, India",1
Hindawi,1
Rice University,1
Centre for Humanitarian Dialogue,1
"NIScPR-CSIR, India",1
Academy of Romanian Scientists Publishing House,1
"Malmö universitet, Malmö universitetsbibliotek",1
'Genetics Society of America',1
SAGE Publishing,1
University of British Columbia,1
Argonne National Laboratory,1
"Illinois Univ., Urbana, IL (United States). Dept. of Nuclear Engineering",1
McGill University,1
e-Publications@Marquette,1
Instituto Interamericano de Ciencias Agrícolas (IICA),1
place:NEW YORK,1
INFORMA HEALTHCARE,1
Umeå : Umeå universitet,1
'Queensland University of Technology',1
Nature Portfolio,1
Scholars\u27 Mine,1
Hosted by Utah State University Libraries,1
'Inter-Research Science Center',1
포항공과대학교,1
Queensland University of Technology,1
'Periodica Polytechnica Budapest University of Technology and Economics',1
Bard Digital Commons,1
"Royal Society, The",1
'EDP Sciences',1
ScholarWorks@UMass Amherst,1
'Jyvaskyla University Library',1
Chapman and Hall,1
'Cold Spring Harbor Laboratory',1
PANGAEA,1
Glob Chang Biol,1
Gateway Antarctica Special Publication Series,1
'CABI Publishing',1
University of Canterbury,1
National Academy of Sciences,1
place:BOCA RATON,1
"'State Institution National Antarctic Scientific Center, Ministry of Education and Science of Ukraine'",1
Saint Mary\u27s Digital Commons,1
Polska Akademia Nauk. Czasopisma i Monografie PAN,1
'JSTOR',1
American Association for the Advancement of Science,1
Nordic Ecological Society,1
Wiley on behalf of the Cambridge Philosophical Society,1
Blackwell,1
LSU Digital Commons,1
EngagedScholarship@CSU,1
Brookhaven National Laboratory,1
"Sandia National Laboratories (SNL-NM), Albuquerque, NM (United States)",1
Institute of Electrical and Electronics Engineers,1
'Laser Pages Publishing Ltd.',1
Washington University Open Scholarship,1
University of Ottawa (Canada),1
Wiley-Blackwell,1
Wiley-VCH Verlag,1
'Defence Scientific Information and Documentation Centre',1
AIP Publishing,1
Cornell University Operations Research and Industrial Engineering,1
IR-05-016,1
NULRS,1
'Acoustical Society of America (ASA)',1
'IOP Publishing',1
Digital Commons @ VCCS,1
Lawrence Berkeley National Laboratory,1
Pergamon Press,1
'AIP Publishing',1
'Mohr Siebeck',1
Christian-Albrechts-Universität,1
PLoS ONe,1
'M. E. Sharpe Inc.',1
Hindawi-Wiley,1
'Association for Information Systems',1
Digital Commons @ NJIT,1
Digital Commons @ Montana Tech,1
Editorial office of Computer Science,1
'Walter de Gruyter GmbH',1
"Chalmers University of Technology, Göteborg",1
Animo Repository,1
Elsevier Ltd.,1
'American Thoracic Society',1
Institute of Electrical and Electronics Engineers Inc.,1
Sandia National Laboratories,1
University of Toronto,1
chinese physics letters,1
Cell Press (Elsevier),1
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,1
Vysoké učení technické v Brně. Fakulta strojního inženýrství,1
