hypothesis,publication_id,title,doi,authors,year,abstract,full_text,subjects,topics,journals,publisher
Anthropogenically induced adaptation to invade hypothesis,100027538,Blackwell Publishing LtdThe evolutionary consequences of biological invasions,,"Andrew V. Suarez, Neil D. Tsutsui",2014,"A major challenge of invasion biology is the development of a predictive framework that prevents new invasions. This is inherently difficult because different biological character-istics are important at the different stages of invasion: opportunity/transport, establish-ment and spread. Here, we draw from recent research on a variety of taxa to examine the evolutionary causes and consequences of biological invasions. The process of introduction may favour species with characteristics that promote success in highly disturbed, human-dominated landscapes, thus exerting novel forms of selection on introduced populations. Moreover, evidence is accumulating that multiple introductions can often be critical to the successful establishment and spread of introduced species, as they may be important sources of genetic variation necessary for adaptation in new environments or may permit the introduction of novel traits. Thus, not only should the introduction of new species be prevented, but substantial effort should also be directed to preventing the secondary introduction of previously established species (and even movement of individuals among introduced populations). Modern molecular techniques can take advantage of genetic changes postintroduction to determine the source of introduced populations and their vectors of spread, and to elucidate the mechanisms of success of some invasive species. Moreover, the growing availability of genomic tools will permit the identification of underlying genetic causes of invasive success",,text,"adaptation, behaviour, genetic drift, hybridization, invasive species",,
Anthropogenically induced adaptation to invade hypothesis,484292564,Elucidating the Joint Effects of Biotic and Abiotic Factors on Species Invasion: A Trait-based Approach,,"Simon, Margaret",2017,"Species invasions present a major environmental challenge due to their negative impacts on biodiversity, natural and agricultural ecosystems, and human health. Climate warming increases rates of invasion, but the field lacks a full understanding of the processes generating this pattern.  To mitigate the negative effects of warming-facilitated invasions, we must understand the role that temperature plays in invasion success. A critical component of this agenda is to understand the effects of temperature on the invasion of ectothermic species in particular, as a large proportion of high-impacting pest and pathogen invaders are ectotherms. A successful invasion requires that an invader colonize the thermal environment, as well as establish into the biotic environment, the latter of which exposes the invader to competitive and antagonistic interactions with native residents. Because temperature affects both invader colonization and establishment, ectotherm invasions represent a complex interplay between temperature, invader persistence, and biotic interactions.	Here we develop a conceptual framework for predicting the outcome of such complexity. The framework links the thermal environment to ectotherm population dynamics and interactions through impacts of temperature on life history and interaction traits. We integrate the temperature response of these traits into delay differential equations to make mechanistic predictions regarding the effects of warming on stage-structured populations and community-level dynamics. We use the framework to examine the effect of temperature on exotic invasion success by characterizing the fundamental thermal niche of an invader and the ways in which a resident competitor might constrain the thermal niche. We then ask how climate warming impacts these invasions.	Within the fundamental thermal niche of ectotherms, we find that high temperatures maximize the probability of colonization, but low temperatures maximize invader abundance. We find that ectotherms adapted to low latitudes (tropical climates) are more successful invaders of high latitudes (temperate climates) as compared to the other way around. Further, we find that warming can allow tropical invaders to establish when they could not under ambient temperate climates. Taken together, the dissertation clarifies our understanding of the mechanisms by which exotic species insert themselves into native communities under ambient and warming climates",,etd,Ecology,,"eScholarship, University of California"
Anthropogenically induced adaptation to invade hypothesis,234533478,Britton et al. data predicting invaders,10.5061/dryad.3m5116g/1,"Britton, Robert, Gutmann Roberts, Catherine, Amat Trigo, Fatima, Nolan, Emma, De Santis, Vanessa",2019,Data for 'Predicting the ecological impacts of an alien invader: experimental approaches reveal the trophic consequences of competition,,"Dataset, none","Comparative functional response, Invasive species, non-native, predator-prey, invasive species",,
Anthropogenically induced adaptation to invade hypothesis,100269168,Journal compilation © 2007 Blackwell Publishing Ltd Blackwell Publishing LtdFacing change: forms and foundations of contemporary adaptation to biotic invasions,,Scott P. Carroll,2007,"Ongoing adaptation in native populations to anthropogenic change both facilitates and challenges ecologically appropriate and sustainable management. Human disturbance promotes adaptive responses at the genomic, individual and population levels. Traits vary widely in whether adaptation occurs through plasticity or evolution, and these modes inter-act within and among traits. For example, plasticity in one trait may be adaptive because it permits homeostasis and lessens the intensity of selection in another. Both opportunity and catastrophe generate adaptive responses. Recently evolved adaptations characterize the responses of many native species to biotic invasions. Several well-known examples involve native phytophagous insects colonizing introduced plants. For example, our studies of North American and Australian soapberry bugs on nonindigenous plants demonstrate both diversifying and homogenizing contemporary evolution. Modes of adaptation differ among traits and populations and as a function of the host on which they develop. The genetic architecture of the evolving adaptations involves a substantial degree of nonadditive genetic variation. One important consequence of contemporary adaptation may be an enhanced capacity of native communities to provide adaptive biological control of invasive species. Conservation scientists may manipulate adaptation to achieve conservation goals, but must also decide how deeply they wish to attempt to control the phenotypes and geno-types of other species",,text,"adaptation, biological control, conservation, contemporary evolution, invasion, soap- berry bug",,
Anthropogenically induced adaptation to invade hypothesis,234417534,"Data from: Contemporary evolution during invasion: evidence for differentiation, natural selection, and local adaptation",10.5061/dryad.gt678,"Colautti, Robert I., Lau, Jennifer A.",2015,"Biological invasions are ‘natural’ experiments that can improve our understanding of contemporary evolution. We evaluate evidence for population differentiation, natural selection and adaptive evolution of invading plants and animals at two nested spatial scales: (i) among introduced populations (ii) between native and introduced genotypes. Evolution during invasion is frequently inferred, but rarely confirmed as adaptive. In common garden studies, quantitative trait differentiation is only marginally lower (~3.5%) among introduced relative to native populations, despite genetic bottlenecks and shorter timescales (i.e. millennia vs. decades). However, differentiation between genotypes from the native vs. introduced range is less clear and confounded by nonrandom geographic sampling; simulations suggest this causes a high false-positive discovery rate (>50%) in geographically structured populations. Selection differentials (¦s¦) are stronger in introduced than in native species, although selection gradients (¦β¦) are not, consistent with introduced species experiencing weaker genetic constraints. This could facilitate rapid adaptation, but evidence is limited. For example, rapid phenotypic evolution often manifests as geographical clines, but simulations demonstrate that nonadaptive trait clines can evolve frequently during colonization (~two-thirds of simulations). Additionally, QST-FST studies may often misrepresent the strength and form of natural selection acting during invasion. Instead, classic approaches in evolutionary ecology (e.g. selection analysis, reciprocal transplant, artificial selection) are necessary to determine the frequency of adaptive evolution during invasion and its influence on establishment, spread and impact of invasive species. These studies are rare but crucial for managing biological invasions in the context of global change",,Article,"Adaptation, Contemporary Evolution, Invasive Species, Quantitative Genetics, Ecological Genetics, Natural Selection and Contemporary Evolution",,
Anthropogenically induced adaptation to invade hypothesis,214784608,Progress toward understanding the ecological impacts of non-native species,,"Ricciardi, Anthony, Hoopes, Martha F., Marchetti, Michael",2013,"A predictive understanding of the ecological impacts of nonnative species has been slow to develop, owing largely to an apparent dearth of clearly defined hypotheses and the lack of a broad theoretical framework. The context dependency of impact has fueled the perception that meaningful generalizations are nonexistent. Here, we identified and reviewed 19 testable hypotheses that explain temporal and spatial variation in impact. Despite poor validation of most hypotheses to date, evidence suggests that each can explain at least some impacts in some situations. Several hypotheses are broad in scope (applying to plants and animals in virtually all contexts) and some of them, intriguingly, link processes of colonization and impact. Collectively, these hypotheses highlight the importance of the functional ecology of the nonnative species and the structure, diversity, and evolutionary experience of the recipient community as general determinants of impact; thus, they could provide the foundation for a theoretical framework for understanding and predicting impact. Further substantive progress toward this goal requires explicit consideration of within-taxon and across-taxa variation in the per capita effect of invaders, and analyses of complex interactions between invaders and their biotic and abiotic environments",,text,"biological invasion, context dependence, ecological impact, invasive species, niche theory, prediction, risk assessment, Biology, Ecology and Evolutionary Biology",,Saint Mary\u27s Digital Commons
Anthropogenically induced adaptation to invade hypothesis,15033488,Ecological and evolutionary insights from species invasions,10.1016/j.tree.2007.06.009,"Sax, D. F., Stachowicz, J. J., Brown, J. H., Bruno, J. F., Dawson, M. N., Gaines, S. D., Grosberg, R. K., Hastings, A., Holt, R. D., Mayfield, M. M., O'Connor, M. I., Rice, W. R.",2007,"Species invasions provide numerous unplanned and frequently, but imperfectly, replicated experiments that can be used to better understand the natural world. Classic studies by Darwin, Grinnell, Elton and others on these species-invasion experiments provided invaluable insights for ecology and evolutionary biology. Recent studies of invasions have resulted in additional insights, six of which we discuss here; these insights highlight the utility of using exotic species as 'model organisms'. We also discuss a nascent hypothesis that might provide a more general, predictive understanding of invasions and community assembly. Finally, we emphasize how the study of invasions can help to inform our understanding of applied problems, such as extinction, ecosystem function and the response of species to climate change",,Journal Article,"Ecology, Evolutionary Biology, Genetics & Heredity, Biological Invasion, Plant Invasions, Green Mountain, Climate-change, Genetic-variation, Ascension Island, Soil Biota, Extinction, Speciation, Diversity, 270703 Terrestrial Ecology, 270708 Conservation and Biodiversity, 270709 Biogeography",,'Elsevier BV'
Anthropogenically induced adaptation to invade hypothesis,108805753,Interaction of Species Traits and Environmental Disturbance Predicts Invasion Success of Aquatic,,Elvira Mächler Florian,2012,"Factors such as increased mobility of humans, global trade and climate change are affecting the range of many species, and cause large-scale translocations of species beyond their native range. Many introduced species have a strong negative influence on the new local environment and lead to high economic costs. There is a strong interest to understand why some species are successful in invading new environments and others not. Most of our understanding and generalizations thereof, however, are based on studies of plants and animals, and little is known on invasion processes of microorganisms. We conducted a microcosm experiment to understand factors promoting the success of biological invasions of aquatic microorganisms. In a controlled lab experiment, protist and rotifer species originally isolated in North America invaded into a natural, field-collected community of microorganisms of European origin. To identify the importance of environmental disturbances on invasion success, we either repeatedly disturbed the local patches, or kept them as undisturbed controls. We measured both short-term establishment and long-term invasion success, and correlated it with species-specific life-history traits. We found that environmental disturbances significantly affected invasion success. Depending on the invading species ’ identity, disturbances were either promoting or decreasing invasion success. The interaction between habitat disturbance and species identity was especially pronounced for long-term invasion success. Growth rate was the most important trait promoting invasion success, especially when the species invaded into a disturbed local community. W",,text,,,
Anthropogenically induced adaptation to invade hypothesis,579936637,The Enemy Release Hypothesis,10.3897/arphapreprints.e107394,"Heger,Tina, Jeschke,Jonathan M., Bernard-Verdier,Maud, Musseau,Camille, Mietchen,Daniel",2023,"The enemy release hypothesis is a major and well-known hypothesis in invasion biology. Building on a summary of different previous definitions, we provide the following revised definition: “A reduced pressure by enemies in the non-native range positively affects invasion success.” Further, we suggest formalizing the hypothesis in the basic form ‘subject - relationship - object’ to allow for disambiguating the different existing meanings and enhancing their usability by machines",,Research Idea,"formalized hypotheses, invasion biology, nanopublications",,Pensoft Publishers
Anthropogenically induced adaptation to invade hypothesis,15989708,"Testing predictions of the """"evolution of increased competitive ability hypothesis"""" for an invasive crucifer",,"Müller, Caroline, Martens, N.",2005,"Müller C, Martens N. Testing predictions of the """"evolution of increased competitive ability hypothesis"""" for an invasive crucifer. Evolutionary Ecology 19. 2005;19(6):533-550",,"http://purl.org/coar/resource_type/c_6501, info:eu-repo/semantics/article, doc-type:article, text",,,Chapman and Hall
Anthropogenically induced adaptation to invade hypothesis,389535716,Contemporary evolution of an invasive plant is associated with climate but not with herbivory,,"Castells, Eva, Colomer Ventura, Ferran, Martínez Vilalta, Jordi,, Zuccarini, Paolo, Escolà, Anna, Armengot, Laura",2021,Data from Colomer-Ventura et al.Divergence in plant traits and trait plasticity after invasion has been proposed as mechanisms favouring invasion success. Current hypotheses predict a rapid evolution in response to changes in the abiotic conditions in the area of introduction or to differences in the herbivore consumption pressure caused by a decrease in the enemies associated with the area of origin [e.g. evolution of increased competitive ability (EICA) hypothesis]. The importance of these factors in determining plant geographical divergence has not been yet simultaneously evaluated,,"info:eu-repo/semantics/article, info:eu-repo/semantics/submittedVersion","Data, Functional ecology, Adaptation, Biological invasions, Drought, Ecological clines, Evolution of increased competitive ability (EICA) hypothesis, Hervibory, Invasion ecology, Phenotypic plasticity, Plant traits, Senecio pterophorus",,
Anthropogenically induced adaptation to invade hypothesis,105144755,REV IEW AND SYNTHES IS Linking anthropogenic resources to wildlife–pathogen dynamics: a review and meta-analysis,,"Daniel J. Becker, Daniel G, Sonia Altizer",2016,"Urbanisation and agriculture cause declines for many wildlife, but some species benefit from novel resources, especially food, provided in human-dominated habitats. Resulting shifts in wildlife ecol-ogy can alter infectious disease dynamics and create opportunities for cross-species transmission, yet predicting host–pathogen responses to resource provisioning is challenging. Factors enhancing transmission, such as increased aggregation, could be offset by better host immunity due to improved nutrition. Here, we conduct a review and meta-analysis to show that food provisioning results in highly heterogeneous infection outcomes that depend on pathogen type and anthropo-genic food source. We also find empirical support for behavioural and immune mechanisms through which human-provided resources alter host exposure and tolerance to pathogens. A review of recent theoretical models of resource provisioning and infection dynamics shows that changes in host contact rates and immunity produce strong non-linear responses in pathogen inva-sion and prevalence. By integrating results of our meta-analysis back into a theoretical frame-work, we find provisioning amplifies pathogen invasion under increased host aggregation and tolerance, but reduces transmission if provisioned food decreases dietary exposure to parasites. These results carry implications for wildlife disease management and highlight areas for future work, such as how resource shifts might affect virulence evolution",,text,"agriculture, foraging ecology, host–parasite interactions, immune defence, infectious disease ecology, mathematical models, supplemental feeding, urbanisation. Ecology Letters (2015) 18, 483–495",,
